Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Suzuki GD110,2017,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",112.8 ccm (6.88 cubic inches),"Single cylinder, four-stroke",,8.1 HP (5.9  kW)) @ 8500 RPM,51.0 x 55.2 mm (2.0 x 2.2 inches),,Carburettor,Single Overhead Cams (SOHC),Air,4-speed,Chain   (final drive),,Underbone,"Telescopic, Coil Spring, Oil Damped",,"Swingarm Type, Coil Spring, Oil Damped, Sping Pre-Load 5-way Adjustable",,Expanding brake (drum brake),,Expanding brake (drum brake),,108.0 kg (238.1 pounds),,"766 mm (30.2 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1215 mm (47.8 inches),9.20 litres (2.43 US gallons),"Red, black, blue",Kick,Sold in Asia.,9.5:1,,,,,,,2.5-17 ,2.75-17 ,,,,Wet sump,Constant mesh,1050 mm (41.3 inches),1900 mm (74.8 inches),750 mm (29.5 inches),,,,,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,
TM Racing 530Fi 4T MX,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",Titanium valves,,98.0 x 70.0 mm (3.9 x 2.8 inches),,Injection. 44 mm throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),Multiuple-disk in oil-bath with hydaulic control,Perimetral aluminium section,Kayaba USD,,TM Racing,,Single disc. Wave disc. ,245 mm (9.6 inches),Single disc. Wave disc. ,,,,,,,8.20 litres (2.17 US gallons),Blue/white,Electric & kick,Italian brand.,,Kokusan CDI Electronic with variable advance,,,,,,90/90-X21 ,110/90-X19 ,,,,Dry sump with double rotor pump,Straight – tooth gear,,,,,,,,,Fuel battery.,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BN 600 GT,2017,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,81.6 HP (59.6  kW)) @ 11000 RPM,65.0 x 45.2 mm (2.6 x 1.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Wet clutch,"Decomposable, front steel trestle, rear aluminium alloy casting",Hydraulic shock absorber  50 mm upside-down,115 mm (4.5 inches),"Rear swing arm in aluminium alloy, rear shock absorber with extension hydraulic and spring preload adjustment",120 mm (4.7 inches),Double disc. Floating discs. Four-piston calipers. ,260 mm (10.2 inches),Single disc. Two-piston calipers. ,223.0 kg (491.6 pounds),243.0 kg (535.7 pounds),0.3659 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1430 mm (56.3 inches),27.00 litres (7.13 US gallons),Charcoal gray,Electric,Small windscreen,11.5:1,CDI,,,Euro 3. Catalytic converter and two oxygen sensor.,,,120/70-ZR17 ,180/55-ZR17 ,,5.00 litres (1.32 US gallons),56.4 Nm (5.8 kgf-m or 41.6 ft.lbs) @ 8100 RPM,Wet sump,"Chain drive, ratio 14:46. Primary drive: 44/82.",1280 mm (50.4 inches),2150 mm (84.6 inches),800 mm (31.5 inches),,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KFX90,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",,,47.0 x 51.8 mm (1.9 x 2.0 inches),,Carburettor. Mikuni PTE 16,,Air,Automatic,Chain   (final drive),,Double cradle,Single A-arm with twin shock absorbers / 2.8 in.,,Swingarm with single shock absorber / 2.9 in.,,Expanding brake (drum brake). Dual mechanical drums,,Single disc. Hydraulic. ,,118.8 kg (262.0 pounds),,"650 mm (25.6 inches) If adjustable, lowest setting.",102 mm (4.0 inches),965 mm (38.0 inches),5.68 litres (1.50 US gallons),Lime Green,Electric & kick,,10.0:1,Solid state CDI,,,,,,18/7-8 ,18/9-8 ,,,,,CVT,925 mm (36.4 inches),1425 mm (56.1 inches),904 mm (35.6 inches),12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Chieftain,2017,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1811.0 ccm (110.51 cubic inches),"V2, four-stroke",Thunder Stroke® 111 engine,,113.0 x 108.0 mm (4.4 x 4.3 inches),,Injection. Closed Loop Sequential Port Fuel Injection,,Air,6-speed,Belt   (final drive),,Aluminium,Telescopic forks with air adjust,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,376.0 kg (828.9 pounds),391.0 kg (862.0 pounds),,"660 mm (26.0 inches) If adjustable, lowest setting.",,1668 mm (65.7 inches),20.80 litres (5.50 US gallons),"Black, Red, Silver, Silver/Black, Red/Black, Pearl White Smoke",Electric,Small windscreen. 7´ Touchscreen. Tire Pressure Monitoring. 100 Watt Stereo with AM/FM Bluetooth and Smartphone Compatible Input.,9.5:1,,,,,25.0°,150 mm (5.9 inches),130/90-16 ,180/60-16 ,,,161.1 Nm (16.4 kgf-m or 118.8 ft.lbs) @ 3000 RPM,,,1388 mm (54.6 inches),2571 mm (101.2 inches),1000 mm (39.4 inches),2 years,Hard saddle bags.,,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ","Tear drop head lamp, spot lights, fender light",,Dual leather seat,,5.20 litres (5.49 US quarts),,,,,SAE 20W-40,,DOT 4,,,"NGK DCPR8E, NGK DCPR8EIX",800+/-50 RPM,,,,36 PSI (2.5 Bar or 250 kPa),41 PSI (2.8 Bar or 280 kPa),46 mm (1.8 inches),30/66 (front/rear),,,
Rieju RS3 NKD 50,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",Minarelli NG 50 engine,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Carburettor. Dell´Orto PHBN 16,,Liquid,6-speed,Chain   (final drive),,Triangular double cradle double steel tube,Inverted fork of Ø41mm.,,Mono-shock shock absorber adjustable,,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,119.0 kg (262.4 pounds),,,"845 mm (33.3 inches) If adjustable, lowest setting.",,1375 mm (54.1 inches),12.00 litres (3.17 US gallons),"White, red",Electric,Spanish brand.,,,,,,,,100/80-17 ,130/80-17 ,,,,Wet sump,,1090 mm (42.9 inches),2020 mm (79.5 inches),770 mm (30.3 inches),,,,Digital instrument dashboard. ,,,,,1.10 litres (1.16 US quarts),,,,,,,,,,,,,,,,,,,,,
Hyosung GV250,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"V2, four-stroke",75° V-twin,25.0 HP (18.2  kW)) @ 10000 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),4,Carburettor. 2 x BDS26 Mikuni,Double Overhead Cams/Twin Cam (DOHC),Oil & air,5-speed,Chain   (final drive),,,Telescopic fork,,Swing arm with Hydraulic Double shock absorber (Preload adjustable),,Single disc. 2 pistons caliper,,Expanding brake (drum brake),176.0 kg (388.0 pounds),,0.1420 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1515 mm (59.6 inches),14.00 litres (3.70 US gallons),"Black, red, blue",Electric,Also called Aquila.,10.3:1,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,25.0°,,110/90-16 ,150/80-15 ,,,22.0 Nm (2.2 kgf-m or 16.3 ft.lbs) @ 7500 RPM,Wet sump,Constant mesh,1096 mm (43.1 inches),2282 mm (89.8 inches),875 mm (34.4 inches),"24 months limited, 1st year parts  and  labor, 2nd year parts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YBR125 Custom,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",Forward-inclined single cylinder,10.0 HP (7.3  kW)) @ 7800 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),2,Injection,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),"Wet, multiple-disc coil spring","Diamond, steel",Telescopic forks,120 mm (4.7 inches),Link suspension,105 mm (4.1 inches),Double disc. Hydraulic,130 mm (5.1 inches),Expanding brake (drum brake),,129.0 kg (284.4 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1290 mm (50.8 inches),12.00 litres (3.17 US gallons),"Light gray, red, black",Electric & kick,Chrome styling and raised handlebars. Custom-style teardrop fuel tank. Ultra-low slung seat for comfortable riding. Rear carrier with integral grab rail.,10.0:1,TCI,,,EU 3,26.0°,90 mm (3.5 inches),3.00-18 ,3.50-16 ,,,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,,Constant Mesh,1125 mm (44.3 inches),2055 mm (80.9 inches),845 mm (33.3 inches),,Rear rack,,,,,,EU3-compliant slash-cut muffler,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,,,,,
Rieju RS3 125  ,2017,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",Minarelli-Yamaha engine,,52.0 x 58.6 mm (2.0 x 2.3 inches),4,Carburettor. Keihin 39S,,Liquid,5-speed,Chain   (final drive),,Triangular double cradle double steel tube,"Inverted fork, 41mm. ",,"Mono-shock shock absorber, adjustable",,Single disc. Double piston caliper,220 mm (8.7 inches),Single disc,128.0 kg (282.2 pounds),,,"845 mm (33.3 inches) If adjustable, lowest setting.",,1330 mm (52.4 inches),12.00 litres (3.17 US gallons),"Red, white, black, green",Electric,Spanish bike.,,CDI,,,,,,100/80-17 ,130/80-17 ,,,,,,1090 mm (42.9 inches),1970 mm (77.6 inches),670 mm (26.4 inches),,,,Digital Instrumentation,Dual projector headlamps,12 Volt,,Exhaust pipe with aluminium silencer ,1.10 litres (1.16 US quarts),,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 800 RR,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",,140.0 HP (102.2  kW)) @ 13100 RPM,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection. Mikuni Full Ride-By-Wire,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),"Wet, multi plate with slipper clutch",Mixed steel trellis and aluminium plates for high torsional rigidity,Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment,125 mm (4.9 inches),"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",125 mm (4.9 inches),"Double disc. ABS. Floating disc, 4-piston",210 mm (8.3 inches),Single disc. ABS. 4-piston,168.0 kg (370.4 pounds),,0.8333 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1380 mm (54.3 inches),16.60 litres (4.39 US gallons),"Red/white, Grey/black/red
",Electric,Ride by Wire System incorporating multi-map with eight level adjustable traction control.,13.3:1,"Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System) with three injectors Engine control unit Eldor EM2.0, throttle body full drive by wire Mikuni, pencil-coil with ion-sensing technology, control of detonation and ",,,,,95 mm (3.7 inches),120/70-ZR17 ,180/55-ZR17 ,"Aluminium alloy, 5-spoke.",,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 10100 RPM,,,,2085 mm (82.1 inches),725 mm (28.5 inches),,,245.0 km/h (152.2 mph),,,,,,,,13200,,,,,,,,,,,,,,,,,,,
Suzuki KingQuad 500AXi,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",Counterbalancer shaft for smooth operation,,87.5 x 82.0 mm (3.4 x 3.2 inches),4,Injection. Suzuki Fuel Injection,Overhead Cams (OHC),Liquid,Automatic,Shaft drive (cardan)   (final drive),Sealed oil-bathed multi-disc,,"Independent, double wishbone, oil-damped. Spring preloaded, 5 way adjustable",180 mm (7.1 inches),"Independent, double wishbone, oil-damped. Spring preloaded, 5 way adjustable",201 mm (7.9 inches),Double disc,,Sealed multidisc,,302.0 kg (665.8 pounds),,"920 mm (36.2 inches) If adjustable, lowest setting.",260 mm (10.2 inches),1285 mm (50.6 inches),17.50 litres (4.62 US gallons),"Terra Green, Flame Red",Electric,,10.0:1,,,,,,,25/8-12 ,25/10-12 ,Steel wheels,,,Wet sump,"2WD, 4WD and differential-lock 4WD",1285 mm (50.6 inches),2135 mm (84.1 inches),1250 mm (49.2 inches),"12-month, unlimited mileage, limited warranty",,,"LCD speedometer, odometer, twin tripmeter, hour meter, clock, fuel level, driving range and drive mode.",30W halogen headlights,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 125 P,2017,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",,,,,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Oil & air,5-speed,Chain   (final drive),"Wet, Multiplate",Steel,Telescopic fork,,Hydraulic Mono shock absorber,,Double disc,230 mm (9.1 inches),Single disc,110.0 kg (242.5 pounds),,,"830 mm (32.7 inches) If adjustable, lowest setting.",,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),"White, red, black",Electric,,10.2:1,,,,,,,110/70-17 ,150/70-17 ,,,,Wet sump,,1120 mm (44.1 inches),2090 mm (82.3 inches),780 mm (30.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Soul GT,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,9.4 HP (6.9  kW)) @ 8000 RPM,,,Injection,,Air,Automatic,Belt   (final drive),,Underbone,Telescopic fork,,Unit swingarm,,Single disc,,Expanding brake (drum brake),96.0 kg (211.6 pounds),,0.0978 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,1260 mm (49.6 inches),4.20 litres (1.11 US gallons),,Electric,Sold in Asia,,TCI,,,,,,80/80-14 ,100/70-14 ,,,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 5500 RPM,,,1070 mm (42.1 inches),1879 mm (74.0 inches),685 mm (27.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota BB3,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",BMW engine,200.0 HP (146.0  kW)) @ 13000 RPM,,4,Injection,,Liquid,6-speed,Chain   (final drive),Multidisc with antislip system,Composite trellis frame and a carbon fiber body.,"Telescopic fork Ø43mm, adjustable in pre-load, rebound and compression damping",,"Monoshock, adjustable in pre-load, rebound and compression damping",,"Double disc. ABS. Brembo calipers four pistons, four separates pads, radial pump.",230 mm (9.1 inches),Single disc. ABS. Bremo 2-pistons,179.0 kg (394.6 pounds),,1.1173 HP/kg,"828 mm (32.6 inches) If adjustable, lowest setting.",,1430 mm (56.3 inches),18.00 litres (4.76 US gallons),"White/red, white/black",Electric,Traction control. Italian brand.,,,,,Euro 3,25.0°,,120/70-ZR17 ,190/55-ZR17 ,"Black 5-spoke, aluminum forged",,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 9750 RPM,Wet sump,,1180 mm (46.5 inches),1854 mm (73.0 inches),,,,,,,,,Arrow racing exhaust,,,,,,,,,,,,,,,,,,,,,,
Enfield Classic 500,2017,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,27.2 HP (19.9  kW)) @ 5250 RPM,84.0 x 90.0 mm (3.3 x 3.5 inches),,Injection. Keihin EFI,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),Mulitiplate,"Single downtube, using engine as stressed member","Telescopic, 35mm forks, ",130 mm (5.1 inches),Twin gas charged shock absorbers with 5-step adjustable preload,80 mm (3.1 inches),Single disc. 2-Piston caliper,153 mm (6.0 inches),Expanding brake (drum brake),,190.0 kg (418.9 pounds),,,135 mm (5.3 inches),1360 mm (53.5 inches),13.50 litres (3.57 US gallons),"Beige, black, silver",Electric & kick,Made in India. Brand full name is Royal Enfield.,8.5:1,Digital,,,,,,90/90-18 ,110/90-18 ,Wire spoked,,41.3 Nm (4.2 kgf-m or 30.5 ft.lbs) @ 4000 RPM,Wet sump,Constant mesh,1090 mm (42.9 inches),2140 mm (84.3 inches),790 mm (31.1 inches),,,120.0 km/h (74.6 mph),Analogue,"60 W / 55 W, halogen head light","12 volt, 14 Ah battery",Solo seat,Chrome,,,,,,,,,,,,,,,,,,,,,,
Honda CBR400R,2017,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,399.0 ccm (24.35 cubic inches),"Twin, four-stroke",,45.4 HP (33.1  kW)) @ 9500 RPM,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Injection. PGM-Fi,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Wet multiplate with coil springs,"Diamond, steel",41mm Conventional telescopic,118 mm (4.7 inches),Pro-Link monoshock with nine-position spring preload adjustability,103 mm (4.1 inches),Single disc,240 mm (9.4 inches),Single disc,182.0 kg (401.2 pounds),,0.2495 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1410 mm (55.5 inches),15.00 litres (3.96 US gallons),Red/white/blue/black,Electric,Sold in Asia.,11.0:1,Computer-controlled digital transistorized with electronic advance,2.52 litres/100 km (39.7 km/l or 93.34 mpg),58.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,25.0°,99 mm (3.9 inches),110/70-ZR17 ,140/70-ZR17 ,Aluminiumalloy  rims,,37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 7500 RPM,Forced pressure and wet sump,O-Ring sealed chain,1145 mm (45.1 inches),2075 mm (81.7 inches),740 mm (29.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1000GT,2017,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1037.0 ccm (63.28 cubic inches),"V2, four-stroke",90-degree V-twin,100.0 HP (73.0  kW)) @ 8000 RPM,100.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,,"Kayba inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Double disc. ABS,260 mm (10.2 inches),Single disc. ABS,,228.0 kg (502.7 pounds),,"850 mm (33.5 inches) If adjustable, lowest setting.",,1555 mm (61.2 inches),20.00 litres (5.28 US gallons),"Black, silver, red",Electric,Traction Control System.,11.3:1,Electronic ignition (Transistorized),4.78 litres/100 km (20.9 km/l or 49.21 mpg),110.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 3,25.7°,109 mm (4.3 inches),110/80-R19 ,150/70-R17 ,10-spoke cast-aluminium wheels,,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,Wet sump,,1410 mm (55.5 inches),,,,"Top box, saddle bags",,,,,,Black Yoshimura Hepta Force silencer,,,,,,,,,,,,,,,,,,,,,,
Ducati 1299 Panigale S,2017,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1285.0 ccm (78.41 cubic inches),"V2, four-stroke",Superquadro L-Twin,205.0 HP (149.6  kW)) @ 10500 RPM,116.0 x 60.8 mm (4.6 x 2.4 inches),4,Injection. Twin injectors per cylinder. Full ride-by-wire elliptical throttle bodies.,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),Slipper and self-servo wet multiplate clutch with hydraulic control,Monocoque Aluminium,Öhlins NIX30 43mm fully adjustable USD fork with TiN treatment. Electronic compression and rebound damping adjustment with semi-active mode,120 mm (4.7 inches),Fully adjustable Ohlins TTX36 unit. Electronic compression and rebound damping adjustment with semi-active mode. Adjustable linkage: Progressive/flat. Aluminium single-sided swingarm,130 mm (5.1 inches),Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,166.5 kg (367.1 pounds),190.5 kg (420.0 pounds),1.2312 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,1437 mm (56.6 inches),17.00 litres (4.49 US gallons),Red,Electric,,12.6:1,,,,Euro 3,24.0°,96 mm (3.8 inches),120/70-ZR17 ,200/55-ZR17 ,3 spoke W shape forged light alloy. Pirelli Diablo Supercorsa SP tyres.,,144.6 Nm (14.7 kgf-m or 106.7 ft.lbs) @ 8750 RPM,,"Chain 525; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears, Ratio 1.77.",1105 mm (43.5 inches),2070 mm (81.5 inches),745 mm (29.3 inches),24 months unlimited mileage,,,Digital,,,,2-1-2 system with catalytic converter and 2 lambda probes. Twin stainless steel mufflers with alumimum outer sleeves,,,,,,,,,,,,,,,,,,,,,,
Suzuki Hayabusa Z,2017,Sport," 4.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"In-line four, four-stroke",Twin Swirl Combustion Chambers. Lightweight aluminum alloy pistons. Lightweight titanium valves.,197.0 HP (143.8  kW)) @ 9500 RPM,81.0 x 65.0 mm (3.2 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Slipper Clutch,Rigid twin-spar aluminum,"KYB inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Double disc. ABS,320 mm (12.6 inches),Single disc. ABS,266.0 kg (586.4 pounds),,0.7406 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1480 mm (58.3 inches),21.00 litres (5.55 US gallons),"
Pearl Vigor Blue/Glass Sparkle Black
",Electric,,12.5:1,Electronic ignition (Transistorized),,,,26.4°,93 mm (3.7 inches),120/70-ZR17 ,190/50-ZR17 ,,,155.0 Nm (15.8 kgf-m or 114.3 ft.lbs) @ 7200 RPM,Wet sump,Constant mesh,1165 mm (45.9 inches),2190 mm (86.2 inches),735 mm (28.9 inches),12 month unlimited mileage limited warranty.,,,,,,,Yoshimura Hepta Force ´titanium´ carbon tipped silencer,,,,,,,,,,,,,,,,,,,,,,
