Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Moto Guzzi California 1400 Touring,2015,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1380.0 ccm (84.21 cubic inches),"V2, four-stroke",96.0 HP (70.1  kW)) @ 6500 RPM,104.0 x 81.2 mm (4.1 x 3.2 inches),Injection,,Ride by Wire with integral management of 3 engine maps,,Oil & air,6-speed,Shaft drive (cardan)   (final drive),,,Closed double-cradle tubular steel frame with elastokinematic engine fastening,32.0°,46mm telescopic fork,120 mm (4.7 inches),Dual shocks adjustable spring preload ,110 mm (4.3 inches),Double disc. ABS,280 mm (11.0 inches),Single disc. ABS,322.0 kg (709.9 pounds),0.2981 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1665 mm (65.6 inches),20.50 litres (5.42 US gallons),Black,Electric,Windscreen,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,,152 mm (6.0 inches),130/70-18 ,200/60-16 ,370.0 kg (815.7 pounds),2445 mm (96.3 inches),1030 mm (40.6 inches),,90 degree V-twin,,,"Stainless steel, 2-into-2; three-way catalytic converter ",,,1460 mm (57.5 inches),,,,,,Saddle bags,"EPA, CARB",,,,,,,,,,,,,,,,,,,,,,
Linhai ATV Dragon Fly 400,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,352.0 ccm (21.48 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,Pressure lubrication wet sump,Air,Automatic,Shaft drive (cardan)   (final drive),,CVT,,,Independent - mac pherson,,Independent- double triangles superimposed,,Single disc,,Single disc,330.0 kg (727.5 pounds),,"865 mm (34.1 inches) If adjustable, lowest setting.",183 mm (7.2 inches),1200 mm (47.2 inches),16.00 litres (4.23 US gallons),"Red, white",Electric,Chinese made ATV. Sold in Europe.,,9.0:1,,,25/8-12 ,25/10-12 ,,2110 mm (83.1 inches),,,,,,,,,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity,2015,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10.9 HP (7.9  kW)) @ 6750 RPM,52.0 x 58.6 mm (2.0 x 2.3 inches),Injection. EFI,Single Overhead Cams (SOHC),TCI,Wet sump,Liquid,Automatic,Belt   (final drive),,,,,Telescopic fork,,Unit Swing,,Double disc. Optional ABS.,230 mm (9.1 inches),Single disc. Optional ABS,,,"780 mm (30.7 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1310 mm (51.6 inches),6.60 litres (1.74 US gallons),"White, black, red, grey",Electric,Small windscreen. Leaning twin-wheel front.,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8750 RPM,11.2:1,2,,90/80-14 ,110/90-12 ,152.0 kg (335.1 pounds),1905 mm (75.0 inches),735 mm (28.9 inches),,,,,,Dual front wheel,,1215 mm (47.8 inches),,,,,LED front lights,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400Z,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",33.0 HP (24.1  kW)) @ 7000 RPM,81.0 x 77.6 mm (3.2 x 3.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,Liquid,Automatic,Belt   (final drive),,V-belt Drive,High-tensile steel-tube,,"Telescopic, coil spring, oil damped",109 mm (4.3 inches),"Link type, coil spring, oil damped",99 mm (3.9 inches),Double disc. Antilock Brake System (ABS) ,,Single disc. Antilock Brake System (ABS) ,,,"710 mm (28.0 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1585 mm (62.4 inches),13.25 litres (3.50 US gallons),Metallic Matte Black,Electric,,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 5000 RPM,12.5:1,4,,120/80-M14 ,150/70-M13 ,222.0 kg (489.4 pounds),2270 mm (89.4 inches),825 mm (32.5 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,"Storage bay large enough for two full-face helmets, and a smaller compartment for personal items",,140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,
Honda Rebel,2015,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor. Single 26mm diaphragm-type constant-velocity (CV) carburetor,Single Overhead Cams (SOHC),CD,,Air,5-speed,Chain   (final drive),,O-ring-sealed chain,,30.0°,33mm fork,117 mm (4.6 inches),Dual shocks with five-position spring-preload adjustability,74 mm (2.9 inches),Double disc. Two-piston calipers. ,234 mm (9.2 inches),Expanding brake (drum brake),,,"676 mm (26.6 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),9.84 litres (2.60 US gallons),"Black, Candy Red",Electric,Model ID: CMX250,,9.2:1,2,113 mm (4.4 inches),3.00-18 ,130/90-15 ,150.1 kg (331.0 pounds),,,One year. Unlimited milage. Transferable.,,2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Ignitor,2015,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8000 RPM,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor. CV Type,Overhead Cams (OHC),Digital CDI,,Air,5-speed,Chain   (final drive),Multiplate wet,,"Tubular, Diamond Type ",,Telescopic Hydraulic Shock Absorbers,,Swing Arm with Adjustable Hydraulic Shock Absorbers,,Single disc. Optional 130 mm drum brake,130 mm (5.1 inches),Expanding brake (drum brake),,,,175 mm (6.9 inches),1270 mm (50.0 inches),9.00 litres (2.38 US gallons),"Black, red, white, grey, yellow",Electric & kick,Bike made in India. Brand previously called Hero Honda.,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 5000 RPM,9.2:1,,,80/100-17 ,100/90-17 ,129.0 kg (284.4 pounds),2010 mm (79.1 inches),710 mm (28.0 inches),,,,,,"Black cast wheels, 6-spoke",,1095 mm (43.1 inches),,,1.40 litres (0.37 US gallons),"12 V - 3 Ah  , MF Battery battery.",12 V - 35 W / 35 W - Halogen Bulb (Multi -Reflector Type),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S1000F ABS,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,74.5 x 57.3 mm (2.9 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),Wet multiplate,,Aluminium,25.0°,"Inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Double disc. ABS,,Single disc. ABS,209.0 kg (460.8 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1460 mm (57.5 inches),17.00 litres (4.49 US gallons),Metallic Triton Blue,Electric,"Sold as a 2016 model, but available early 2015.",,12.2:1,4,100 mm (3.9 inches),120/70-ZR17 ,190/50-ZR17 ,,2115 mm (83.3 inches),795 mm (31.3 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR M4,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1100.0 ccm (67.12 cubic inches),"V2, four-stroke",107.0 HP (78.1  kW)) @ 7500 RPM,,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",,,,Oil & air,6-speed,Chain   (final drive),"Wet, Multiple Disc",,NCR titanium frame weight 4.8 Kg (10.6 lbs). Subframe: NCR titanium subframe with Schedoni leather seat on a carbon fiber base.,24.0°,"Ohlins 43 mm upside-down fork with TiN surface treatment, adjustable off-set, radial calipers with NCR CORSE billet aluminum fork bottoms, tuned by NCR CORSE. Triple clamps made from billet AL 7075 with an adjustable offset of 24 to 32 mm in 2 mm incremen",,Fully adjustable Ohlins monoshock with eccentric adjustor. Tuned by NCR CORSE,,"Double disc. WAVE discs, 4-piston 2-pad Brembo SBK radial caliper from billet.",200 mm (7.9 inches),"Single disc. WAVE disc, 2-piston Brembo caliper from billet..",130.0 kg (286.6 pounds),0.8231 HP/kg,,,1400 mm (55.1 inches),13.00 litres (3.43 US gallons),Black. Custom paint available on request.,Electric,"Adjustable rear sets in AL 7075 and titanium, gas cap assembly in aluminum from billet, clip-ons in AL 7075 with titanium tubes, triple clamps from AL 7075 with adjustable offset from 24 to 32 mm, Ohlins steering damper with billet mount in titanium, billet oil fill plug, front fairing stay in aluminum, NCR 32mm slave master machined from billet, titanium oil reservoirs. NCR custom oil cooler.  Traction control ",115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 5100 RPM,10.0:1,4,,120/70-R17 ,190/55-R17 ,,,,,Ducati EVO 1100 engine.,,,,BST-NCR Carbon fiber wheels,Schedoni leather seat on a carbon fiber base.,,,,,Lightweight lithium battery,,,Catalytic converter,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 RR,2015,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",200.8 HP (146.6  kW)) @ 13600 RPM,79.0 x 50.9 mm (3.1 x 2.0 inches),"Injection. Weber Marelli 5SM ignition - injection integrated system; induction discharge electronic ignition, “Multipoint” sequential timed electronic injection",Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),"Wet, multi-disc with back torque limiting device and Brembo radial pump/lever assembly",6-speed constant mesh,CrMo Steel Tubular Trellis. Aluminium alloy adjustable swingarm pivot height.,,"Öhlins EC Nix hydraulic “UPSIDE DOWN” front forks with TiN superficial treatment. Completely adjustable electronically controlled compression and rebound damping with manual, spring preload",120 mm (4.7 inches),"Progressive, single shock absorber Öhlins TTX. Fully adjustable hydraulic electronically controlled compression and rebound damping with manual, spring preload",120 mm (4.7 inches),"Double disc. ABS. Floating disc. Brembo GP radial-type, single-piece with 4 pistons.",210 mm (8.3 inches),"Single disc. ABS, four-piston.",190.0 kg (418.9 pounds),1.0568 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1430 mm (56.3 inches),17.00 litres (4.49 US gallons),"White/Black, Red/White",Electric,,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 9600 RPM,13.4:1,4,104 mm (4.1 inches),120/70-ZR17 ,200/55-ZR17 ,,2115 mm (83.3 inches),750 mm (29.5 inches),,Titanium intake and exhaust valves,,,4-2-1-4 exhaust,Forged aluminium alloy,,,,,,12 V 8.6 Ah battery,,,,297.5 km/h (184.9 mph),,,14000,,,,,,,,,,,,,,,,,,
Keeway Handy 150,2015,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Pressure splash,Air,4-speed,Chain   (final drive),"Wet, multiple-plate",,Arch bar truck,,Telescopic forks,130 mm (5.1 inches),Telescopic coil spring oil damped,80 mm (3.1 inches),Single disc,110 mm (4.3 inches),Expanding brake (drum brake),120.0 kg (264.6 pounds),0.0917 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",170 mm (6.7 inches),1330 mm (52.4 inches),12.50 litres (3.30 US gallons),Red,Electric & kick,"Keeway is the American and European brand name of Qianjiang, China.",10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,9.3:1,2,,2.75-18 ,3.50-16 ,,2060 mm (81.1 inches),800 mm (31.5 inches),,,,,,,,1100 mm (43.3 inches),,,,,,,,97.0 km/h (60.3 mph),,,,,,,,,,,,,,,,,,,,,
Indian Chief Vintage,2015,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,101.0 x 113.0 mm (4.0 x 4.4 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,Air,6-speed,Belt   (final drive),,,Cast Aluminum Frame with Integrated Air-Box,34.0°,Telescopic fork,119 mm (4.7 inches),Single shock,94 mm (3.7 inches),Double disc. ABS. Floating discs. Dual Caliper.,,Single disc. ABS. Floating disc. Single caliper.,364.0 kg (802.5 pounds),,"692 mm (27.2 inches) If adjustable, lowest setting.",,1646 mm (64.8 inches),20.80 litres (5.50 US gallons),"Green/Grey, Red/grey, Black, Red, Red/Black",Electric,"Windscreen, Keyless Start.",138.9 Nm (14.2 kgf-m or 102.5 ft.lbs) @ 3000 RPM,9.5:1,,150 mm (5.9 inches),130/90-16 ,150/80-16 ,371.0 kg (817.9 pounds),2553 mm (100.5 inches),1029 mm (40.5 inches),2 years,,,,Two into one Stainless Steel,Wire spoked. White Wall tires.,Solo Seat w/ Passenger Pillion;,1518 mm (59.8 inches),,Analog speedometer  and  multi-function digital display,,42 Amps charging,"Tear drop head lamp, spot lights, fender light",Leather Saddlebags,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  900 Custom,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,903.0 ccm (55.10 cubic inches),"V2, four-stroke",,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection. DFI   with dual 34mm Keihin throttle bodies (2),Single Overhead Cams (SOHC),TCBI with digital advance,,Liquid,5-speed,Belt   (final drive),,,"Double cradle, high-tensile steel",33.0°,41mm hydraulic telescopic fork ,150 mm (5.9 inches),"Uni-Trak   swingarm, 7-way adjustable spring preload",104 mm (4.1 inches),Single disc. Hydraulic. ,300 mm (11.8 inches),Single disc. Hydraulic. ,,,"686 mm (27.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1646 mm (64.8 inches),20.06 litres (5.30 US gallons),Ebony,Electric,,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,9.5:1,4,183 mm (7.2 inches),80/90-21 ,180/70-15 ,277.1 kg (610.8 pounds),2405 mm (94.7 inches),894 mm (35.2 inches),12 Months,52° V-twin,,,,,,1120 mm (44.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV950 Pure Sports by Low Ride,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",51.4 HP (37.5  kW)) @ 5500 RPM,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet sump,Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",Constant Mesh,Double cradle,32.0°,"Telescopic forks,   41  mm",135 mm (5.3 inches),Swingarm,110 mm (4.3 inches),Single disc. Hydraulic. ABS.,298 mm (11.7 inches),Single disc. Hydraulic. ABS.,,,"690 mm (27.2 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1570 mm (61.8 inches),12.00 litres (3.17 US gallons),Red/white,Electric,Yamaha Yard Built Serie.,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 8100 RPM,9.0:1,4,130 mm (5.1 inches),100/90-19 ,150/80-16 ,,,,,,,,Custom designed 2-into-1 exhaust,,,,4.30 litres (4.54 US quarts),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Scoopy 110,2015,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",6.1 HP (4.4  kW)) @ 8000 RPM,50.0 x 55.0 mm (2.0 x 2.2 inches),Carburettor,Overhead Cams (OHC),DC-CDI,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,,Mono Shock - Unit Swing,,"Single disc. Hydraulic, ventilated",,Expanding brake (drum brake),91.0 kg (200.6 pounds),0.0669 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1240 mm (48.8 inches),3.50 litres (0.92 US gallons),"Red, black, pink, white, yellow",Electric & kick,Sold in some Asian countries.,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6000 RPM,,,,80/90-14 ,90/90-14 ,,1844 mm (72.6 inches),699 mm (27.5 inches),,,,,,Alloy,Two-person seat,1070 mm (42.1 inches),0.80 litres (0.85 US quarts),Analogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda DRD Pro 50 SM,2015,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Automatic mixer,Liquid,6-speed,Chain   (final drive),Multi-plate,Primary drive: Gear assembly,,,40 mm. Upside down fork.,250 mm (9.8 inches),Progressive linkage monoshock with separate gas tank.,250 mm (9.8 inches),Single disc,220 mm (8.7 inches),Single disc,96.0 kg (211.6 pounds),,"850 mm (33.5 inches) If adjustable, lowest setting.",,1390 mm (54.7 inches),6.50 litres (1.72 US gallons),Black/red/white,Electric,Spanish brand. DRD is an abbreviation of Derbi Racing Development.,,11.5:1,,,100/80-17 ,130/70-17 ,103.0 kg (227.1 pounds),2005 mm (78.9 inches),808 mm (31.8 inches),,,,,,Wire spoked,,1120 mm (44.1 inches),1.20 litres (1.27 US quarts),,1.30 litres (0.34 US gallons),12V 4Ah battery,,,Euro II,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Turismo Veloce 800,2015,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 10000 RPM,79.0 x 54.3 mm (3.1 x 2.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Motor  and  Vehicle Integrated Control System,,Oil & air,6-speed,Chain   (final drive),"Wet, multidisc",,ALS Steel tubular trellis (MAG welded,,Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment.,160 mm (6.3 inches),"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",160 mm (6.3 inches),Double disc,220 mm (8.7 inches),Single disc,194.0 kg (427.7 pounds),0.5928 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),,"Red/silver, Silver/grey",Electric,Windscreen.,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 8600 RPM,13.3:1,4,95 mm (3.7 inches),120/70-ZR17 ,190/55-ZR17 ,,2080 mm (81.9 inches),900 mm (35.4 inches),,Counter-rotating crankshaft,,,,Aluminium alloy,,,,,,12V 11 Ah battery.,,,,240.0 km/h (149.1 mph),,,13000,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2015,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",690.0 ccm (42.10 cubic inches),"Single cylinder, four-stroke",67.0 HP (48.9  kW)),102.0 x 84.5 mm (4.0 x 3.3 inches),Injection,,,Pressure circulation lubrication with two rotor pumps,Liquid,6-speed,Chain   (final drive),Multidisc clutch in oil bath/hydraulically activated,5/8  x  1/4  X Ring,"Tubular space frame made from chrome molybdenum steel, powder-coated",27.0°,WP  Suspension 4860 D48/26 MA,250 mm (9.8 inches),WP  Suspension  4618 with Pro Lever linkage,250 mm (9.8 inches),Single disc. Floating disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Floating disc. Single-piston caliper. ,143.0 kg (315.3 pounds),0.4685 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1504 mm (59.2 inches),12.00 litres (3.17 US gallons),Orange/gray/white,Electric & kick,,,,,,,,,,,,Balancer shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Speedcruiser 250,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.9 ccm (15.19 cubic inches),"V2, four-stroke",19.2 HP (14.0  kW)) @ 8750 RPM,49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor,Single Overhead Cams (SOHC),TLI,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",,Bassinet type,,Telescopic forks,120 mm (4.7 inches),Telescopic coil spring oil damped,70 mm (2.8 inches),Single disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.1128 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1530 mm (60.2 inches),13.50 litres (3.57 US gallons),"Black/orange, grey",Electric,"Windscreen. Keeway is the American and European brand name of Qianjiang, China.",18.7 Nm (1.9 kgf-m or 13.8 ft.lbs) @ 5750 RPM,9.4:1,2,,110/90-16 ,120/90-16 ,,2280 mm (89.8 inches),900 mm (35.4 inches),,,,,,,,1110 mm (43.7 inches),,,,,,Saddle bags,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,
Terra Modena 198,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.6 ccm (27.43 cubic inches),"Single cylinder, four-stroke",,98.0 x 59.6 mm (3.9 x 2.3 inches),Injection. Indirect injection. Dell’Orto Ø 50mm throttle body.,Double Overhead Cams/Twin Cam (DOHC),Digital,Separate lubrication system with one pressure pump and two scavenge pumps,Liquid,6-speed,Chain   (final drive),"Surflex anti-hop clutch, with ergal cover; wet, multiple hydraulically operated plates.",Primary distribution fitted with sprocket gears,Aluminium alloy Alsi 9 double bean main frame with a twin under mount.,26.0°,"Ohlins upside-down front suspension fork with 46 mm diameter rods and adjustable compression, rebound and pre-stressing",,Rear swinging fork and Ohlins DPS 46 mm single shock absorber fitted with inert gas cartridge and separator piston.,,Single disc,220 mm (8.7 inches),Single disc,120.0 kg (264.6 pounds),,"890 mm (35.0 inches) If adjustable, lowest setting.",260 mm (10.2 inches),1048 mm (41.3 inches),8.50 litres (2.25 US gallons),White,Electric & kick,Italian made bike. The name 198 is used beacuse it is has 1 cylinder engine with 98 mm bore.,,,4,,120/70-ZR17 ,160/60-ZR17 ,,2150 mm (84.6 inches),830 mm (32.7 inches),,Titanium valves. Sand casted aluminium engine block.,,,,"Marchesini, in cast aluminium. Dunlop Sportmax tyres.",,1185 mm (46.7 inches),,Programmable digital display,1.00 litres (0.26 US gallons),12 V - 9Ah battery,,,"Euro III,  catalytic converter.",,,,9000,,,,,,,,,,,,,,,,,,
