Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Sym Husky 150 Euro I,2004,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,,,,,,,,90/90-18 ,130/80-15 ,Single disc,,Expanding brake (drum brake),149.0 kg (328.5 pounds),,2100 mm (82.7 inches),,,,"Blck, Blue/grey, Green/grey",,11.4 HP (8.3  kW)),,,Chain   (final drive),,Telescopic fork,,Swing arm,,0.0765 HP/kg,820 mm (32.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 125 R,2004,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Liquid,6-speed,,,,,Single disc,,Single disc,,,,,,,,,15.0 HP (10.9  kW)) @ 9000 RPM,,Single Overhead Cams (SOHC),Chain   (final drive),,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,
Honda Valkyrie,2004,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1250.0 ccm (76.28 cubic inches),"Six cylinder boxer, four-stroke",,9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor,Liquid,5-speed,32.0°,,150/80-R17 ,180/70-R16 ,Double disc,,Single disc,,"734 mm (28.9 inches) If adjustable, lowest setting.",,,1689 mm (66.5 inches),20.06 litres (5.30 US gallons),Black,,,2,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,45mm inverted fork,130 mm (5.1 inches),Dual shocks with five-position spring-preload adjustability,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250 F,2004,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",28.7 Nm (2.9 kgf-m or 21.2 ft.lbs),,,,Liquid,5-speed,,,,,,,,93.0 kg (205.0 pounds),,,,,,Lime green,,43.0 HP (31.4  kW)),4,,Chain   (final drive),,,,,,0.4624 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1000 S i.e.,2004,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 6000 RPM,10.0:1,94.0 x 71.5 mm (3.7 x 2.8 inches),Injection,Air,6-speed,24.0°,,120/60-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",2105 mm (82.9 inches),,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),Metallic grey with red wheels on metallic grey,"Ducati's most powerful, air-cooled Monster gets its strength from a 992 cc, air-cooled, Dual Spark engine that achieves new levels of efficiency and reliability. Ducati has years of experience with air-cooled technology and the innovative 1000 DS engine is a product of our continuous advancement in the field. And with its classic Monster styling, the 1000 is as impressive standing still as it is in motion.",84.0 HP (61.3  kW)) @ 8000 RPM,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,Showa 43 mm upside-down fully adjustable fork,130 mm (5.1 inches),Progressive linkage with Sachs adjustable monoshock. Aluminium swing-arm,148 mm (5.8 inches),,,3.50 litres (0.92 US gallons),,,,,1222 mm (48.1 inches),,,,,,,189.0 kg (416.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
Ducati 749 R,2004,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8500 RPM,12.7:1,94.0 x 54.0 mm (3.7 x 2.1 inches),Injection,Liquid,6-speed,24.0°,,120/70-ZR17 ,180/50-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),,1420 mm (55.9 inches),18.30 litres (4.83 US gallons),Red.,"For those focused directly on competition, the 749R is the ideal solution. It is a perfect racing machine, with a Testastretta series engine and chassis specifically developed to ensure top competitiveness on the racetrack. The considerable use of special materials, from magnesium to carbon fiber to titanium, make this motorcycle extra-light and extremely effective.
",116.0 HP (84.7  kW)) @ 10500 RPM,4,Desmodromic valve control,Chain   (final drive),Tubular ALS450 steel trellis,"Öhlins upside-down fully adjustable fork with TiN surface treatment, for radial calipers",120 mm (4.7 inches),Progressive linkage with fully adjustable Öhlins monoshock,128 mm (5.0 inches),,,3.00 litres (0.79 US gallons),,,,,1110 mm (43.7 inches),,,,,,,192.0 kg (423.3 pounds),,,,,,,,,,,,,,,,,,,,,,,
Honda Reflex ABS,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,10.5:1,72.7 x 60.0 mm (2.9 x 2.4 inches),Carburettor,Liquid,Automatic,,,110/90-13 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,,"719 mm (28.3 inches) If adjustable, lowest setting.",,,1544 mm (60.8 inches),12.11 litres (3.20 US gallons),"Black, Red",Model id NSS250A.,,2,Single Overhead Cams (SOHC),Belt   (final drive),,33.0mm hydraulic fork.,99 mm (3.9 inches),Single-side swingarm with dual hydraulic shocks with seven-position spring-preload adjustability,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville,2004,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,9.2:1,86.0 x 68.0 mm (3.4 x 2.7 inches),Carburettor,Air,5-speed,,,100/90-R 19 ,130/80-R 17 ,Single disc,255 mm (10.0 inches),Single disc,205.0 kg (451.9 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),,1493 mm (58.8 inches),16.00 litres (4.23 US gallons),,,61.0 HP (44.5  kW)) @ 7400 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,0.2976 HP/kg,860 mm (33.9 inches),,,,,,1105 mm (43.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GA 125 F Cruiser II,2004,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,Air,5-speed,,,90/90-18 ,110/90-16 ,Single disc,,Expanding brake (drum brake),126.0 kg (277.8 pounds),,2095 mm (82.5 inches),175 mm (6.9 inches),1385 mm (54.5 inches),14.50 litres (3.83 US gallons),"Green, Blue, Brown",,,4,,,,,,,,,780 mm (30.7 inches),,,,,,1161 mm (45.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Euro Classic 500,2004,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,6.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor,Air,4-speed,,,,,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),140 mm (5.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),"Black, Velvet green, White. Delux version in Black, Red",Available in Europe.,22.0 HP (16.1  kW)) @ 5500 RPM,,Overhead Valves (OHV),Chain   (final drive),,"Telescopic, Hydraulic Damping",,Swing Arm With Adjustable,,,750 mm (29.5 inches),,120.0 km/h (74.6 mph),2.52 litres/100 km (39.7 km/l or 93.34 mpg),58.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1080 mm (42.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W 650,2004,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",675.0 ccm (41.19 cubic inches),"Twin, four-stroke",56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),,,,Air,5-speed,,,,,,,,195.0 kg (429.9 pounds),,,,,,Blue,,50.0 HP (36.5  kW)) @ 7000 RPM,,Single Overhead Cams (SOHC),,,,,,,0.2564 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750,2004,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",77.3 Nm (7.9 kgf-m or 57.0 ft.lbs) @ 3000 RPM,9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Carburettor,Air,5-speed,28.0°,134 mm (5.3 inches),100/90-V18 ,130/90-V16 ,Single disc,260 mm (10.2 inches),Single disc,176.0 kg (388.0 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",2205 mm (86.8 inches),190 mm (7.5 inches),1482 mm (58.3 inches),14.00 litres (3.70 US gallons),"Beige sabbia/Grigio platino, Grigio iron/nero",,45.6 HP (33.3  kW)) @ 6600 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular duplex cradle,Marzocchi 40 mm hydraulic telescopic fork,136 mm (5.4 inches),"Swing arm in light cast alloy with two dampers, spring adjustable for pre-load and rebound",75 mm (3.0 inches),0.2590 HP/kg,875 mm (34.4 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing C1 Bambino,2004,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,1-speed,,,,,Single disc,,Expanding brake (drum brake),34.0 kg (75.0 pounds),"605 mm (23.8 inches) If adjustable, lowest setting.",,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 SM Supermoto,2004,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,11.7:1,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor,Liquid,5-speed,,63 mm (2.5 inches),120/70-17 ,,Single disc,220 mm (8.7 inches),Single disc,149.0 kg (328.5 pounds),"910 mm (35.8 inches) If adjustable, lowest setting.",,290 mm (11.4 inches),1510 mm (59.4 inches),12.00 litres (3.17 US gallons),"Orange, Black",,53.6 HP (39.2  kW)) @ 7000 RPM,,Overhead Cams (OHC),Chain   (final drive),"Chromium-molybdenum, power-coated",WP-USD 48 MA,,WP - Monoshock,,0.3600 HP/kg,640 mm (25.2 inches),,,,,,640 mm (25.2 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,2004,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,10.3:1,87.5 x 70.5 mm (3.4 x 2.8 inches),Injection,Oil & air,6-speed,28.0°,,120/70-ZR17 ,170/60-ZR18 ,Double disc,276 mm (10.9 inches),Single disc,218.0 kg (480.6 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),,1487 mm (58.5 inches),20.50 litres (5.42 US gallons),,"Special equipment BMW Motorrad Integral ABS (part-integral), disengageable ",70.0 HP (51.1  kW)) @ 7000 RPM,4,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut, rebound damping adjustable",120 mm (4.7 inches),"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever; central strut, spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel, rebound damping adjustable",135 mm (5.3 inches),0.3211 HP/kg,940 mm (37.0 inches),4.00 litres (1.06 US gallons),187.0 km/h (116.2 mph),4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1220 mm (48.0 inches),,,,,,,238.0 kg (524.7 pounds),"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Yamaha Tmax 500,2004,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Two cylinder boxer, four-stroke",47.6 Nm (4.9 kgf-m or 35.1 ft.lbs) @ 4850 RPM,11.0:1,66.0 x 73.0 mm (2.6 x 2.9 inches),Injection,Liquid,,,,120/70-14 ,150/70-14 ,Double disc,267 mm (10.5 inches),Single disc,205.0 kg (451.9 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",2235 mm (88.0 inches),130 mm (5.1 inches),1575 mm (62.0 inches),,,,43.7 HP (31.9  kW)) @ 6500 RPM,,,,Front suspension system,Telescopic Fork,120 mm (4.7 inches),Swingarm,120 mm (4.7 inches),0.2132 HP/kg,775 mm (30.5 inches),,,,,,1410 mm (55.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDI Dyna Super Glide,2004,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3400 RPM,8.8:1,95.0 x 101.6 mm (3.7 x 4.0 inches),Carburettor,Air,5-speed,28.3°,104 mm (4.1 inches),100/90-19 ,150/80-16 ,Single disc. Four-piston calipers. ,292 mm (11.5 inches),Single disc. Four-piston calipers. ,290.0 kg (639.3 pounds),"713 mm (28.1 inches) If adjustable, lowest setting.",2307 mm (90.8 inches),142 mm (5.6 inches),1595 mm (62.8 inches),17.80 litres (4.70 US gallons),"Vivid black, brilliant silver, sierra red, impact blue
",Silver powder-coated engine and polished covers; two-up seating; top-mounted speedometer; nimble handling; Electronic Sequential Port Fuel Injection (ESPFI) as alternative to carburetor.,67.0 HP (48.9  kW)),2,Overhead Valves (OHV),Belt   (final drive),"Mild steel, tubular. Rectangular section backbone. ",39 mm w/ polished aluminum fork triple clamp and dual-rate springs,,Coil over shock,,0.2310 HP/kg,673 mm (26.5 inches),,160.0 km/h (99.4 mph),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,"Single-fire, non-wasted, map-controlled spark ignition","Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump.",Wet 9-plate,,Electric,301.0 kg (663.6 pounds),,2.80 litres (2.96 US quarts),SAE 20W-50,K & N Chrome - KN-171C,DOT 5 Silicone,YTX20HL-BS,"NGK DCPR7E, NGK DCPR7EIX",1000  RPM,133,1 1/8 in.,32/70 (front/rear),39 mm (1.5 inches),,,,,,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),,,,
BMW F 650 GS Dakar,2004,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 4800 RPM,11.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Injection,Liquid,5-speed,29.2°,,90/90-21 ,130/80-17 ,Single disc,240 mm (9.4 inches),Single disc,187.0 kg (412.3 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",2189 mm (86.2 inches),,1479 mm (58.2 inches),17.30 litres (4.57 US gallons),,,50.0 HP (36.5  kW)) @ 6500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Bridge-type steel section frame with bolted-on rear section,"Telescopic fork, stanchion diameter 41 mm, fork stabiliser, 170 mm travel",210 mm (8.3 inches),"Box-section steel section dual swing arm, central spring strut action via lever system, spring pre-load hydraulically adjustable to continuously variable levels by means of handwheel, rebound damping adjustable, 165 mm travel",210 mm (8.3 inches),0.2674 HP/kg,1265 mm (49.8 inches),4.50 litres (1.19 US gallons),170.0 km/h (105.6 mph),3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,910 mm (35.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLV 1000,2004,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"Twin, four-stroke",,,,,Liquid,6-speed,,,110/80-R19 ,150/70-R17 ,Double disc,,Single disc,207.0 kg (456.4 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",,,1540 mm (60.6 inches),22.00 litres (5.81 US gallons),Orange,,98.0 HP (71.5  kW)) @ 7600 RPM,2,,Chain   (final drive),,,,,,0.4734 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,2004,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 Nm (6.2 kgf-m or 45.0 ft.lbs),,,,Liquid,6-speed,,,120/60-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,195.0 kg (429.9 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,1430 mm (56.3 inches),18.00 litres (4.76 US gallons),"Silver, Blue",,98.0 HP (71.5  kW)) @ 12000 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.5026 HP/kg,,,240.0 km/h (149.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WR 250,2004,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,8.4:1,66.4 x 72.0 mm (2.6 x 2.8 inches),,Liquid,5-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,"965 mm (38.0 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),345 mm (13.6 inches),1465 mm (57.7 inches),10.50 litres (2.77 US gallons),Red/yellow/blue,,,1,,Chain   (final drive),Steel singel tube cradle. Rear frame in light alloy.,Marzocchi upside-down telescopic hydraulic adjustable fork,,Progressive soft-dump with single hydraulic,,,,,,,,,,,,,,,,108.3 kg (238.8 pounds),,,,,,,,,,,,,,,,,,,,,,,
KTM 660 SMC,2004,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 4000 RPM,11.7:1,102.0 x 80.0 mm (4.0 x 3.1 inches),Carburettor,Liquid,5-speed,,63 mm (2.5 inches),120/70-17 ,,Single disc,220 mm (8.7 inches),Single disc,131.0 kg (288.8 pounds),"910 mm (35.8 inches) If adjustable, lowest setting.",,290 mm (11.4 inches),1510 mm (59.4 inches),9.00 litres (2.38 US gallons),,Not available in the US.,32.2 HP (23.5  kW)) @ 6500 RPM,,Overhead Cams (OHC),Chain   (final drive),"Chromium-molybdenum, power-coated",WP-USD 48 MA,,WP - Monoshock,,0.2456 HP/kg,660 mm (26.0 inches),,,,,,660 mm (26.0 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Tre 900,2004,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",898.0 ccm (54.80 cubic inches),"In-line three, four-stroke",100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 8500 RPM,11.0:1,88.0 x 49.2 mm (3.5 x 1.9 inches),,Liquid,6-speed,23.5°,,120/70-17 ,180/55-17 ,Double disc,240 mm (9.4 inches),Single disc,198.0 kg (436.5 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,,1419 mm (55.9 inches),9.00 litres (2.38 US gallons),"Red, Gren/grey, Black/grey",,140.8 HP (102.8  kW)) @ 11500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Steel and aluminium alloy,"Marzocchi “upside down” stanchion fork diameter 50 mm, adjustable in compression and extension with spring pre-load",,"asymmetric swingarm, composed of cast aluminium and pressed in aluminium alloy",,0.7111 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 MXC USA,2004,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",447.9 ccm (27.33 cubic inches),"Single cylinder, four-stroke",,11.0:1,89.0 x 72.0 mm (3.5 x 2.8 inches),Carburettor,Liquid,6-speed,24.0°,,,,Single disc,260 mm (10.2 inches),Single disc,118.7 kg (261.7 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,385 mm (15.2 inches),1481 mm (58.3 inches),14.00 litres (3.70 US gallons),,Available in the US only.,,,Overhead Cams (OHC),Chain   (final drive),Chromium molybdenum,WP-USD 48 MA,,WP-PDS-shock absorber,,,450 mm (17.7 inches),,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Yamaha Versity 300,2004,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",264.0 ccm (16.11 cubic inches),"Single cylinder, four-stroke",21.6 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 6000 RPM,10.0:1,71.0 x 66.8 mm (2.8 x 2.6 inches),,,Automatic,,,120/80-14 ,150/70-14 ,Single disc,240 mm (9.4 inches),Single disc,164.0 kg (361.6 pounds),"822 mm (32.4 inches) If adjustable, lowest setting.",2037 mm (80.2 inches),,1565 mm (61.6 inches),11.70 litres (3.09 US gallons),,,15.2 HP (11.1  kW)) @ 7500 RPM,,,,,Telescopic fork,,Unit swing,,0.0927 HP/kg,969 mm (38.1 inches),,,,,,1469 mm (57.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
