Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Mitt 125 GTS,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 7500 RPM,7.2 Nm (0.7 kgf-m or 5.3 ft.lbs) @ 7500 RPM,,,,,ECU,,,,,,,,,,,,,,,,120/80-14 ,130/60-13 ,Single disc,,Single disc,,,,1325 mm (52.2 inches),2150 mm (84.6 inches),785 mm (30.9 inches),150 mm (5.9 inches),1560 mm (61.4 inches),14.00 litres (3.70 US gallons),,,"Black, Blue, White",Electric,Air,141.0 kg (310.9 pounds),,,,,Spanish brand. Chinese made bikes.,,,,0.0809 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR5 250 Enduro,2020,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",27.5 HP (20.1  kW)) @ 8000 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 7000 RPM,,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection. Delphi fuel injection system 34mm,Single Overhead Cams (SOHC),,,6-speed,Chain   (final drive),"Oil bath, multidisc",,,,,Composite - aluminum/steel,,,"ZF Sachs 48 mm, multi adjustable",280 mm (11.0 inches),"ZF Sachs,  multi adjustable",300 mm (11.8 inches),90/90-21 ,120/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,123.0 kg (271.2 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,,,340 mm (13.4 inches),1465 mm (57.7 inches),7.50 litres (1.98 US gallons),,,White,Electric,Oil & air,,,,,,AJP is a Portuguese brand.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raptor 90,2020,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,89.9 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,,9.2:1,47.0 x 51.8 mm (1.9 x 2.0 inches),Injection,Single Overhead Cams (SOHC),CDI,,,,,,,,,,,,Adjustable single A-arm,,Adjustable Single shock,,18/7-8 ,18/9-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),,126.5 kg (278.9 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",955 mm (37.6 inches),1485 mm (58.5 inches),1020 mm (40.2 inches),100 mm (3.9 inches),,6.60 litres (1.74 US gallons),,,"Yamaha Blue, White",Electric & kick,Air,,,,,One year (unlimited mileage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raybar  Dragon 250,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8000 RPM,16.5 Nm (1.7 kgf-m or 12.2 ft.lbs) @ 7000 RPM,8.8:1,65.5 x 66.6 mm (2.6 x 2.6 inches),Carburettor. PZ30,,CDI,,5-speed,,Wet Multiplate,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic,,Mono Shocker,,90/90-19 ,110/90-17 ,Single disc,,Single disc,,150.0 kg (330.7 pounds),,1160 mm (45.7 inches),2070 mm (81.5 inches),850 mm (33.5 inches),180 mm (7.1 inches),1370 mm (53.9 inches),12.00 litres (3.17 US gallons),,,"Red, Black, White",Electric & kick,Air,,,105.0 km/h (65.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FE 501s,2020,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.9 ccm (31.18 cubic inches),"Single cylinder, four-stroke",,,12.2:1,95.0 x 72.0 mm (3.7 x 2.8 inches),Carburettor,Single Overhead Cams (SOHC),Keihin EMS,,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Magura hydraulics",X-ring 5/8 x 1/4 in chain,,,,25CrMo4 steel central-tube frame,26.5°,,WP-USD Xplor 48 with preload adjuster,300 mm (11.8 inches),WP shock absorber with linkage,300 mm (11.8 inches),90/90-21 ,140/80-18 ,Single disc. Magura twin-piston floating calliper,200 mm (7.9 inches),Single disc. Magura single-piston floating calliper,,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,360 mm (14.2 inches),1482 mm (58.3 inches),8.20 litres (2.17 US gallons),,,White/blue/yellow,Electric,Liquid,108.4 kg (239.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revolt RV300,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,,,,,,,,USD fork,,Adjustable Monoshock,,90/90-17 ,110/80-17 ,Single disc,180 mm (7.1 inches),Single disc,,101.0 kg (222.7 pounds),"826 mm (32.5 inches) If adjustable, lowest setting.",,,,,1320 mm (52.0 inches),,,,"Neon Black, Smokey Grey",Electric,,,,104.6 km/h (65.0 mph),,,"180kms(Eco Mode), 110kms(Normal Mode), 80kms(Sports Mode)
0-75% in 3 Hours And 0-100% in 4.2 Hours",Hub Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli TRK 502 X,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Twin, four-stroke",47.6 HP (34.7  kW)) @ 8500 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 5000 RPM,11.5:1,69.0 x 66.8 mm (2.7 x 2.6 inches),Injection. Electronic fuel injection with double throttle body ø 37 mm,Double Overhead Cams/Twin Cam (DOHC),TLI,Forced with wet sump,6-speed,Chain   (final drive),Wet,,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4. Catalytic converter and oxygen sensors.,Trestle in steel tubes,,,Upside-down forks 50mm,145 mm (5.7 inches),Rear swing arm with central shock absorber spring preload adjustable,50 mm (2.0 inches),110/80-R19 ,150/70-R17 ,"Double disc. 4-piston, ABS",260 mm (10.2 inches),"Single disc. Single piston calliper, ABS",Rim and hub in Aluminum alloy with iron spokes,235.0 kg (518.1 pounds),"860 mm (33.9 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),2220 mm (87.4 inches),915 mm (36.0 inches),210 mm (8.3 inches),1505 mm (59.3 inches),20.00 litres (5.28 US gallons),3.00 litres (0.79 US gallons),,"Red, White, Black",Electric,Liquid,213.0 kg (469.6 pounds),,,,,Made in China.,,4,,0.2235 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R18 Dragster,2020,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1800.0 ccm (109.84 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)),158.0 Nm (16.1 kgf-m or 116.5 ft.lbs),,,Injection. Nitrous oxide injection,,,,6-speed,Shaft drive (cardan)   (final drive),,,,,,,,,Upside-down,,Cantilever,,,,Double disc,,Single disc,,,,,,,,,,,,Blue/black,Electric,,,,,LED headlight,,Customized by Roland Sands.,,4,Hand-fabricated stainless-steel twin-megaphone system,,Seat is by Saddlemen,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 140L,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,144.0 ccm (8.79 cubic inches),"Single cylinder, four-stroke",,,9.5:1,58.0 x 54.4 mm (2.3 x 2.1 inches),Carburettor. Keihin PB20,Single Overhead Cams (SOHC),Digital DC-CDI,,5-speed,Chain   (final drive),"Multi disc, wet",,,,,"High-Tensile steel, box-section perimeter",27.0°,97 mm (3.8 inches),33mm telescopic fork ,180 mm (7.1 inches),"Uni-Trak linkage system and single shock with piggyback reservoir, fully adjustable preload and 22-way rebound damping",180 mm (7.1 inches),70/100-19 ,90/100-16 ,Single disc. Petal disc with a dual-piston caliper,186 mm (7.3 inches),Single disc. Petal disc with single-piston caliper,,95.0 kg (209.4 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),1895 mm (74.6 inches),790 mm (31.1 inches),255 mm (10.0 inches),1285 mm (50.6 inches),5.80 litres (1.53 US gallons),,,Lime Green,Electric,Air,,,,,6 months,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900 GT Low,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,888.0 ccm (54.19 cubic inches),"In-line three, four-stroke",93.9 HP (68.5  kW)) @ 8750 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 7250 RPM,11.3:1,78.0 x 61.9 mm (3.1 x 2.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),Wet multi-plate,,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,"Tubular steel, bolt on sub ",24.6°,133 mm (5.2 inches),"Marzocchi 45mm upside down forks, non-adjustable",,"Marzocchi rear suspension unit, manual preload adjustment, 170mm rear wheel travel",,100/90-19 ,150/70-R17 ,"Double disc. Brembo radial-type monobloc,  with 4 pistons",255 mm (10.0 inches),Single disc. Brembo with single pistons,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),,830 mm (32.7 inches),,1556 mm (61.3 inches),20.00 litres (5.28 US gallons),,,"Pure White; Saphire Black, Korosi Red",Electric,Liquid,192.0 kg (423.3 pounds),,196.0 km/h (121.8 mph),,,,,,,0.4889 HP/kg,,,,,,,,,,,,4.20 seconds,,,,,,,10.30 seconds,,,,,,
Veloci Boxter RR 150,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, four-stroke",10.4 HP (7.6  kW)) @ 7000 RPM,,,,,,CDI,,,,Wet Multiplate,,,,,,,,,,,,2.75-18 ,90/90-18 ,Single disc,,Expanding brake (drum brake),,,,1070 mm (42.1 inches),1940 mm (76.4 inches),750 mm (29.5 inches),,,11.50 litres (3.04 US gallons),,,"Red, Black",Electric & kick,Air,,,105.0 km/h (65.2 mph),,,Mexican brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumpstar ATV 250,2020,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor. PZ30,,,,,Chain   (final drive),,,,,,,,,,,,,20/7-10 ,19/10-9 ,Single disc,,Single disc,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1090 mm (42.9 inches),9.00 litres (2.38 US gallons),,,Black/Green/Blue,Electric,,,,85.0 km/h (52.8 mph),,,,Zongshen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMX 450 Fi 4T,2020,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,95.0 x 63.4 mm (3.7 x 2.5 inches),Injection. 47 mm throttle body,Double Overhead Cams/Twin Cam (DOHC),"Kokusan generator, Microtec Electronic",Dry sump with 2 pumps,5-speed,Chain   (final drive),Multiuple-disk in oil-bath with hydaulic control,,,,,Perimetral aluminium,,,Marzocchi USD,50 mm (2.0 inches),TM Racing monoshock,,110/70-ZR17 ,150/60-ZR17 ,Single disc. Brembo radial pump and caliper,245 mm (9.6 inches),Single disc. Nissin pump and Brembo caliper,Racing tyres,,,,,,,,7.50 litres (1.98 US gallons),,,Blue/white,Electric & kick,Liquid,,,,,,Optional electric starter.,Titanium valves,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confederate FA-13 Combat Bomber,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2163.0 ccm (131.99 cubic inches),"V2, four-stroke",145.0 HP (105.8  kW)) @ 5100 RPM,217.0 Nm (22.1 kgf-m or 160.0 ft.lbs) @ 2000 RPM,,,Injection. Delphi EFI,Pushrods,,,5-speed,Chain   (final drive),,,,,,Billet-alloy monocoque frame,27.5°,106 mm (4.2 inches),"Double wishbone, monoshock front suspension",,Monoshock,,120/70-19 ,240/45-ZR17 ,Double disc,230 mm (9.1 inches),Single disc,BST carbon fiber wheel,254.0 kg (560.0 pounds),"749 mm (29.5 inches) If adjustable, lowest setting.",,,,,1588 mm (62.5 inches),16.25 litres (4.29 US gallons),,,Grey,Electric,Oil & air,,,257.5 km/h (160.0 mph),,,Limited to 13 handcrafted examples.,Triple-camshaft,,,,,,,,,,,,,,,,,5800,,,,,,,,,,,
Suzuki Hayabusa,2020,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1340.0 ccm (81.77 cubic inches),"In-line four, four-stroke",197.0 HP (143.8  kW)) @ 9500 RPM,155.0 Nm (15.8 kgf-m or 114.3 ft.lbs) @ 7200 RPM,12.5:1,81.0 x 65.0 mm (3.2 x 2.6 inches),Injection. Injection with SDTV,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,6-speed,Chain   (final drive),Suzuki Clutch Assist System,"Constant mesh, chain RK GB50GSV Z4 with 114 links",,,"Two large-volume catalyzer to reduce HC, CO, and nitrogen oxide (NOx) emissions",Twin-spar aluminum-alloy ,,,"KYB inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"Link type, coil spring, oil damped",140 mm (5.5 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS. Brembo 4-piston.,260 mm (10.2 inches),Single disc. ABS. Nissin 1-piston.,Three-spoke cast-aluminum-alloy wheels,266.0 kg (586.4 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2190 mm (86.2 inches),735 mm (28.9 inches),120 mm (4.7 inches),1480 mm (58.3 inches),21.00 litres (5.55 US gallons),,,"Candy Daring Red, Metallic Thunder Gray",Electric,Liquid,,,,Vertically stacked headlight. 12V 65W (H9 high-beam) and 12V 55W (H7 low-beam),12 month unlimited mileage limited warranty.,Small windscreen. The model name GSX1300R Hayabusa and Hayabausa 1300 are used in some markets.,Twin Swirl Combustion Chambers. Lightweight aluminum alloy pistons. Lightweight titanium valves.,4,,,,Analog gauges and LCD panel,,,,,,,,,,,,,,,,,,,,,,,
Honda Africa Twin Adventure Sports,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",101.0 HP (73.7  kW)) @ 7500 RPM,104.4 Nm (10.6 kgf-m or 77.0 ft.lbs) @ 6000 RPM,10.1:1,92.0 x 81.5 mm (3.6 x 3.2 inches),Injection. PGM-FI electronic fuel injection (throttle by wire),Single Overhead Cams (SOHC),Full transistorized ignition,,6-speed,Chain   (final drive),"Wet, multi-plate with coil springs, aluminum cam assist and slipper clutch",#525 Chain; 16T/42T,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,Steel semi-double cradle type with high-tensile strength steel rear sub-frame,,,Inverted telescopic fork,231 mm (9.1 inches),Pro-Link® system w/ single shock,221 mm (8.7 inches),90/90-21 ,150/70-R18 ,Double disc. Switchable ABS. 4-piston calipers and sintered metal pads,256 mm (10.1 inches),Single disc. Switchable ABS. 2-piston caliper and sintered metal pads.,Wire spoked,227.3 kg (501.0 pounds),"851 mm (33.5 inches) If adjustable, lowest setting.",,,,,1575 mm (62.0 inches),18.93 litres (5.00 US gallons),3.79 litres (1.00 US gallons),,Pearl Glare White/Blue/Red,Electric,Liquid,,,,,1 year,Small windscreen. Cruise control.,,4,,,,,,"871 mm (34.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Norton Commando 961 California,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 6500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,10.0:1,88.0 x 79.0 mm (3.5 x 3.1 inches),Injection,Pushrods,Digital,Dry sump,5-speed,Chain   (final drive),Wet multi-plate hydraulic lifter,Constant mesh,,,3 way catalytic converter. Euro IV.,Steel tubular with integral oil tank.,24.5°,99 mm (3.9 inches),"43mm Ohlins RWU - adjustable preload, compression  and  rebound damping",115 mm (4.5 inches),"Twin-sided steel swing arm. Ohlins reservoir-style twin shocks - Adjustable ride height,   preload,   compression",100 mm (3.9 inches),120/70-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),"Single disc. Brembo system, 2  piston “Gold Line” calliper. ABS.",Polished aluminium rims,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,,"Black, White, Red, Green, Grey, Light Blue
",Electric,Oil & air,188.0 kg (414.5 pounds),300 watt hi-output charging system.,,,,,"Push-rod valve actuation, 3 bearing crank and balancer shaft. ",2,Stailess steel,0.4255 HP/kg,Optional dual seat,Analogue speedo and tachometer,,,,,,,,,,,,,,,,,,,,,,,
Hamachi Cossack 250,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),,,,1110 mm (43.7 inches),2060 mm (81.1 inches),850 mm (33.5 inches),,,,,,White,Electric,Liquid,133.0 kg (293.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWM SuperDual X,2020,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)),,12.4:1,100.0 x 76.4 mm (3.9 x 3.0 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Digital,Wet sump,,,,,,,Euro 4,High strength steel tubular,,,Upside down hydraulic fork 45mm,210 mm (8.3 inches),Progressive link system with single adjustable shock absorber Sachs,220 mm (8.7 inches),110/80-19 ,140/80-19 ,Single disc. ABS,220 mm (8.7 inches),Single disc,,,"898 mm (35.4 inches) If adjustable, lowest setting.",1385 mm (54.5 inches),2240 mm (88.2 inches),905 mm (35.6 inches),180 mm (7.1 inches),1510 mm (59.4 inches),18.00 litres (4.76 US gallons),,,"Red, Matte Black",Electric,Liquid,187.0 kg (412.3 pounds),,,,,,,,,0.2868 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto ST Papio,2020,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,126.0 ccm (7.69 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 8500 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6500 RPM,9.0:1,57.0 x 49.4 mm (2.2 x 1.9 inches),Injection. EFI,,ECU,,6-speed,,,,,,,,,,Retractable type,,Cantilever Type,,120/70-12 ,130/70-12 ,Single disc,,Single disc,,114.0 kg (251.3 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",995 mm (39.2 inches),1724 mm (67.9 inches),750 mm (29.5 inches),145 mm (5.7 inches),1214 mm (47.8 inches),7.00 litres (1.85 US gallons),,,"Nebula White, Coral Blue",Electric,Air,,,90.0 km/h (55.9 mph),,,Chinese brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Standard,2020,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1746.0 ccm (106.54 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 5450 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 3250 RPM,10.0:1,100.0 x 111.0 mm (3.9 x 4.4 inches),Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,170 mm (6.7 inches),Telescopic fork,,Twin shocks,,130/80-B17 ,180/65-B16 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,Impeller Cast Aluminum,372.0 kg (820.0 pounds),"663 mm (26.1 inches) If adjustable, lowest setting.",,2400 mm (94.5 inches),,124 mm (4.9 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),,4.90 litres (5.18 US quarts),Vivid Black,Electric,Oil & air,354.3 kg (781.0 pounds),,,"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system (optional), 6-speed, low fuel warning, ABS (optional)",,Windshield. Cruise control. Optional Alarm. ,Milwaukee-Eight™ 107,,"Chrome, 2-1-2 dual exhaust with tapered mufflers",0.2541 HP/kg,,"Larger speedometer and tachometer with wide numbers; large fuel and volt gauges with wide numbers; display features odometer, trip A, trip B, range to empty, clock and gear indicator; and larger telltale indicators",Saddle bags ,,,,,,,,,,,,,,,,,,,,,,
Piaggio MP3 500 HPE Sport Advanced,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",42.9 HP (31.3  kW)) @ 7750 RPM,47.5 Nm (4.8 kgf-m or 35.0 ft.lbs) @ 5500 RPM,,94.0 x 71.0 mm (3.7 x 2.8 inches),Injection,Single Overhead Cams (SOHC),Eletronic,Wet sump,,,,,,,Euro 4,,,,Articulated Quadrilateral,,Dual shocks,,,,Double disc. ABS,240 mm (9.4 inches),Single disc. ABS ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,2200 mm (86.6 inches),800 mm (31.5 inches),,1540 mm (60.6 inches),13.20 litres (3.49 US gallons),,,"Black, Blue, Grey, Yellow",Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Falcon 400 ,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",,,8.8:1,,Injection. EFI,,,,5-speed,Chain   (final drive),,,,,,,,,"Telescoopic, inverted",,Mono shock,,110/70-17 ,140/70-17 ,Double disc,,Single disc,,,,1130 mm (44.5 inches),2155 mm (84.8 inches),790 mm (31.1 inches),,1410 mm (55.5 inches),11.00 litres (2.91 US gallons),,,Black/red,Electric,Air,178.0 kg (392.4 pounds),,,,,Made in Taiwan.,,4,397c.c.,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Sprint Racing Sixties,2020,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",155.2 ccm (9.47 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 8500 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6500 RPM,,58.0 x 58.7 mm (2.3 x 2.3 inches),Injection,Single Overhead Cams (SOHC),Electronic with variable advance,Wet sump,Automatic,Belt   (final drive),Automatic. Twist-and-go CVT with torque server,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Sheet metal with welded reinforcements,,,Single arm suspension with coil spring and hydraulic shock absorber,,Double hydraulic shock absorbers with adjustable preload with 4 settings,,120/70-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1950 mm (76.8 inches),755 mm (29.7 inches),,,8.00 litres (2.11 US gallons),,,Green/yellow,Electric,Liquid,,,103.0 km/h (64.0 mph),,,Limited edition. Golden wheel rims. Special seat.,Leader engine,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 690 SMC R,2020,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",693.0 ccm (42.29 cubic inches),"Single cylinder, four-stroke",73.8 HP (53.8  kW)),73.5 Nm (7.5 kgf-m or 54.2 ft.lbs),,105.0 x 80.0 mm (4.1 x 3.1 inches),Injection,Overhead Cams (OHC),"Keihin EMS with RBW, twin ignition",Forced oil lubrication with 2 oil pumps,6-speed,Chain   (final drive),"PASC (TM) slipper clutch, hydraulically actuated",5/8  x  1/4 X Ring. Primary drive: 36:79.,3.87 litres/100 km (25.8 km/l or 60.78 mpg),89.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Chromium-Molybdenum steel trellis frame, powder coated",27.0°,,WP USD Ø 48 mm,215 mm (8.5 inches),WP shock absorber with Pro-Lever linkage,240 mm (9.4 inches),,,Single disc. Bosch 9M+ ABS. Floating disc. Four-piston calipers. Radially mounted. ,240 mm (9.4 inches),Single disc. Bosch 9M+ ABS. Floating disc. Single-piston caliper. ,Orange rime. Conti AttackSM tubeless tyres.,,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,270 mm (10.6 inches),1480 mm (58.3 inches),13.50 litres (3.57 US gallons),,,Black/orange/white,Electric,Liquid,147.0 kg (324.1 pounds),,,,,Ride-by-wire system.,,,,0.5018 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
