Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Yamaha FZR 600,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,Liquid,6-speed,Chain   (final drive),Double disc. 4-piston calipers,Single disc. Single piston caliper,179.2 kg (395.0 pounds),,1425 mm (56.1 inches),18.16 litres (4.80 US gallons),,,,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),6.35 litres/100 km (15.7 km/l or 37.04 mpg),147.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,38 mm (1.5 inches),,110/70-VR17-240 ,140/60-VR18-240 ,245 mm (9.6 inches),,,,,"Yamaha’s greatest value-oriented sport bike has won countless magazine “best buy” and “most bang for the buck” kudos. This high-performance package springs from the same Genesis-engined, Deltabox-framed gene pool as the YZF-R1 and the YZF-R6. ",4,,,Double Overhead Cams/Twin Cam (DOHC),,,,Telescopic fork,,,,,,,,,,,,"Black, white detail",,,,2096 mm (82.5 inches),135 mm (5.3 inches),,,,,1156 mm (45.5 inches),701 mm (27.6 inches),,,,,,,,,,,,,,
Yamaha YP 250 Majesty Deluxe,1999,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,120.0 km/h (74.6 mph),Liquid,,,,,158.0 kg (348.3 pounds),0.1266 HP/kg,1500 mm (59.1 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10000 RPM,269.0 km/h (167.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1395 mm (54.9 inches),18.00 litres (4.76 US gallons),108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,3.10 seconds,6.90 seconds,11.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,135 mm (5.3 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,245 mm (9.6 inches),205.0 kg (451.9 pounds),49.8,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 1000 Varadero,1999,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,,Liquid,5-speed,Chain   (final drive),Double disc,Single disc,,,1560 mm (61.4 inches),25.00 litres (6.61 US gallons),99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 6000 RPM,,,,,,,,,110/80-R19 ,150/70-R17 ,296 mm (11.7 inches),220.0 kg (485.0 pounds),,"845 mm (33.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 640 Supermoto,1999,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,137.0 kg (302.0 pounds),0.4380 HP/kg,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Mantra,1999,Unspecified category," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,204.0 km/h (126.8 mph),Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1370 mm (53.9 inches),24.00 litres (6.34 US gallons),86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5700 RPM,3.90 seconds,12.20 seconds,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,230 mm (9.1 inches),201.0 kg (443.1 pounds),50.2,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTB Night Train,1999,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,,,1696 mm (66.8 inches),19.70 litres (5.20 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2300 RPM,6.90 seconds,18.00 seconds,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,129 mm (5.1 inches),103 mm (4.1 inches),,130/90-B16 ,292 mm (11.5 inches),293.0 kg (646.0 pounds),43.1,"640 mm (25.2 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F2 Seven-Fifty,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),Air,5-speed,Chain   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.3395 HP/kg,1495 mm (58.9 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,1999,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1179.0 ccm (71.94 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,211.0 km/h (131.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1490 mm (58.7 inches),25.00 litres (6.61 US gallons),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,3.40 seconds,8.20 seconds,12.0:1,76.0 x 65.0 mm (3.0 x 2.6 inches),7.80 litres/100 km (12.8 km/l or 30.16 mpg),181.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),120 mm (4.7 inches),120/70-ZR17 ,170/60-ZR17 ,255 mm (10.0 inches),291.0 kg (641.5 pounds),48.0,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Sonic GP 50,1999,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,48.3 km/h (30.0 mph),Liquid,Automatic,Belt   (final drive),Single disc. Hydraulic transmission,Expanding brake (drum brake). Mechanic transmission,105.0 kg (231.5 pounds),,1175 mm (46.3 inches),8.00 litres (2.11 US gallons),,20.00 seconds,,,40.0 x 39.2 mm (1.6 x 1.5 inches),,,65 mm (2.6 inches),70 mm (2.8 inches),100/90-10 ,100/90-10 ,110 mm (4.3 inches),,,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric & kick,I have given all the information that i know to the best of my knowledge about this bike.,2,Carburettor. Unleaded petrol according to Din 51607,,,CDI,,,Hydrauliclly operated telescopic fork,Hydraulic monoshock absorber,,,,,,,,,,"One beam, split in two cradles","Yellow, black, red/black, blue",,,,1680 mm (66.1 inches),,,,,,1070 mm (42.1 inches),610 mm (24.0 inches),1.50 litres (0.40 US gallons),Stainless steel pipe,,20.00 seconds,,,,,,,,,,
Suzuki DR 800 S Big,1999,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6600 RPM,159.0 km/h (98.8 mph),Oil & air,5-speed,Chain   (final drive),Single disc,Single disc,,,1520 mm (59.8 inches),24.00 litres (6.34 US gallons),59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 5400 RPM,5.60 seconds,15.80 seconds,9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,240 mm (9.4 inches),220 mm (8.7 inches),90/90-21 ,130/80-17 ,250 mm (9.8 inches),227.0 kg (500.4 pounds),46.9,"860 mm (33.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750,1999,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,208.0 km/h (129.2 mph),Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1470 mm (57.9 inches),18.00 litres (4.76 US gallons),67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 8500 RPM,3.90 seconds,11.50 seconds,10.7:1,70.0 x 48.7 mm (2.8 x 1.9 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,170/60-ZR17 ,240 mm (9.4 inches),223.0 kg (491.6 pounds),49.8,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,1999,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,202.0 km/h (125.5 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1505 mm (59.3 inches),24.00 litres (6.34 US gallons),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 7500 RPM,4.30 seconds,10.50 seconds,10.0:1,68.5 x 60.5 mm (2.7 x 2.4 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),110 mm (4.3 inches),120/70-17 ,150/70-17 ,245 mm (9.6 inches),280.0 kg (617.3 pounds),46.8,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 R,1999,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),Air,5-speed,Chain   (final drive),Single disc,Single disc,,,1480 mm (58.3 inches),10.00 litres (2.64 US gallons),50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5000 RPM,5.50 seconds,17.00 seconds,10.8:1,95.0 x 84.0 mm (3.7 x 3.3 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,280 mm (11.0 inches),280 mm (11.0 inches),90/90-19 ,130/90-18 ,220 mm (8.7 inches),154.0 kg (339.5 pounds),46.8,"945 mm (37.2 inches) If adjustable, lowest setting.",Kick,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia 125 Classic,1999,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),100.0 km/h (62.1 mph),Liquid,6-speed,Chain   (final drive),Single disc,,145.0 kg (319.7 pounds),0.1034 HP/kg,1553 mm (61.1 inches),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200,1999,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),Air,5-speed,Belt   (final drive),,,223.0 kg (491.6 pounds),0.2601 HP/kg,1524 mm (60.0 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRM 125 R,1999,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",29.0 HP (21.2  kW)) @ 10250 RPM,140.0 km/h (87.0 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,118.0 kg (260.1 pounds),0.2458 HP/kg,,10.00 litres (2.64 US gallons),20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 9000 RPM,,,6.8:1,54.0 x 54.5 mm (2.1 x 2.1 inches),5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,270 mm (10.6 inches),,90/90-21´ ,4.60-18´ ,220 mm (8.7 inches),130.0 kg (286.6 pounds),,,Kick,RC Power valve,,Carburettor. Dell`Orto 28mm,,,CDI,,,Classic forks,"Mono-suspension, gas charge",1.00 litres (1.06 US quarts),,,,,,,,,,,Oil pump,Wet plate,,,,,,,11500,,,1.30 litres (0.34 US gallons),,,,,,,,,,,,,
Bimota YB 11,1999,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,270.0 km/h (167.8 mph),Liquid,5-speed,Chain   (final drive),,,183.0 kg (403.4 pounds),0.7923 HP/kg,1430 mm (56.3 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600,1999,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,160.0 km/h (99.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,110.0 kg (242.5 pounds),,1490 mm (58.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 996 Biposto,1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",112.0 HP (81.8  kW)) @ 8500 RPM,261.0 km/h (162.2 mph),Liquid,6-speed,Chain   (final drive),,Single disc,,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 8000 RPM,3.20 seconds,11.30 seconds,11.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),8.20 litres/100 km (12.2 km/l or 28.69 mpg),190.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,127 mm (5.0 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),221.0 kg (487.2 pounds),48.9,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V10 Centauro,1999,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,217.0 km/h (134.8 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1475 mm (58.1 inches),18.00 litres (4.76 US gallons),88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,4.20 seconds,11.80 seconds,10.5:1,90.0 x 78.0 mm (3.5 x 3.1 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,282 mm (11.1 inches),242.0 kg (533.5 pounds),47.7,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs VS 125 Roadster,1999,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"V2, four-stroke",14.0 HP (10.2  kW)) @ 9500 RPM,105.0 km/h (65.2 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1495 mm (58.9 inches),20.00 litres (5.28 US gallons),10.0 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 9000 RPM,,,10.7:1,41.0 x 47.0 mm (1.6 x 1.9 inches),4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),110/70-17 ,140/70-17 ,130 mm (5.1 inches),151.0 kg (332.9 pounds),,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1999,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,244.0 km/h (151.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 9000 RPM,3.10 seconds,10.00 seconds,11.5:1,88.0 x 61.5 mm (3.5 x 2.4 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,127 mm (5.0 inches),130 mm (5.1 inches),120/60-AR17 ,180/55-ZR17 ,220 mm (8.7 inches),218.0 kg (480.6 pounds),48.9,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXC 125,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Liquid,,Chain   (final drive),Single disc,Single disc,96.0 kg (211.6 pounds),,1461 mm (57.5 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 800,1999,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",781.0 ccm (47.66 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 10500 RPM,231.0 km/h (143.5 mph),Liquid,6-speed,Chain   (final drive),"Dual disc, combined breaking system","Single disc, combined breaking system",,,1440 mm (56.7 inches),21.00 litres (5.55 US gallons),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 8500 RPM,3.20 seconds,12.00 seconds,11.6:1,72.0 x 48.0 mm (2.8 x 1.9 inches),7.10 litres/100 km (14.1 km/l or 33.13 mpg),164.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,256 mm (10.1 inches),238.0 kg (524.7 pounds),48.1,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 Duke II,1999,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,145.0 kg (319.7 pounds),0.4138 HP/kg,1460 mm (57.5 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos ATX 50C,1999,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",2.6 HP (1.9  kW)) @ 5500 RPM,50.0 km/h (31.1 mph),Air,5-speed,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),70.0 kg (154.3 pounds),0.0371 HP/kg,,10.00 litres (2.64 US gallons),,,,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,80/40-18 ,100/50-18 ,,80.0 kg (176.4 pounds),,,Kick,,1,,,,,,,,,,,,,,,,,,,"Yellow, Red, Blue",,,,,,,,,9000,,,0.50 litres (0.13 US gallons),,,,,,,,,,,,,
Yamaha XVS Drag Star Classic,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,214.0 kg (471.8 pounds),0.1869 HP/kg,1610 mm (63.4 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 640 Enduro,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),,4.70 seconds,13.30 seconds,11.0:1,101.0 x 78.0 mm (4.0 x 3.1 inches),6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,280 mm (11.0 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,220 mm (8.7 inches),158.0 kg (348.3 pounds),46.2,"930 mm (36.6 inches) If adjustable, lowest setting.",Electric & kick,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Hornet,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 12000 RPM,218.0 km/h (135.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1420 mm (55.9 inches),16.00 litres (4.23 US gallons),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 9500 RPM,3.40 seconds,12.70 seconds,12.0:1,65.0 x 45.2 mm (2.6 x 1.8 inches),7.90 litres/100 km (12.7 km/l or 29.77 mpg),183.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,125 mm (4.9 inches),128 mm (5.0 inches),130/70-ZR16 ,180/55-ZR17 ,220 mm (8.7 inches),197.0 kg (434.3 pounds),50.0,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 6 R,1999,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",156.0 HP (113.9  kW)) @ 10000 RPM,270.0 km/h (167.8 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1400 mm (55.1 inches),22.00 litres (5.81 US gallons),120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 9000 RPM,3.20 seconds,7.00 seconds,11.2:1,75.5 x 60.0 mm (3.0 x 2.4 inches),6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),150 mm (5.9 inches),120/70-ZR17 ,190/50-ZR17 ,230 mm (9.1 inches),230.0 kg (507.1 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
