Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Hyosung Sense,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",7.2:1,41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor,,,,Air,Automatic,Belt   (final drive),Telescopic fork, Monoshock,3.50-10 ,3.50-10 ,Single disc,Expanding brake (drum brake),"749 mm (29.5 inches) If adjustable, lowest setting.",1064 mm (41.9 inches),1790 mm (70.5 inches),,1242 mm (48.9 inches),4.69 litres (1.24 US gallons),"Red, silver",Electric,,4.0 HP (2.9  kW)),3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 6500 RPM,CVT,,,,79.8 kg (176.0 pounds),0.0501 HP/kg,Scooter made in Korea.,,Centrifugal automatic clutch,,,,,162 mm (6.4 inches),,,,,114 mm (4.5 inches),2,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BWs Original 50,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",7.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,CDI,Separate lubrication,Air,Automatic,Belt   (final drive),Telescopic fork,Unit swing,120/90-10 ,150/80-10 ,Single disc,Expanding brake (drum brake),"768 mm (30.2 inches) If adjustable, lowest setting.",1052 mm (41.4 inches),1685 mm (66.3 inches),675 mm (26.6 inches),1172 mm (46.1 inches),5.30 litres (1.40 US gallons),"Red, grey",Electric & kick,,3.2 HP (2.4  kW)) @ 6500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,,,Steel,,83.0 kg (183.0 pounds),0.0388 HP/kg,,,,,,70 mm (2.8 inches),70 mm (2.8 inches),110 mm (4.3 inches),,,,,120 mm (4.7 inches),,,Dual seat with passenger grab handles,twin headlights,,,,,,Luggage/helmet-carrying hook,,"Compact, new instrument pod.",,,,,,,,,,,,,
Aprilia SportCity 50,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",11.5:1,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor,Overhead Cams (OHC),Electronic inductive discharge ignition with variable advance ,Wet sump. Forced circulation with mechanical pump,Air,Automatic,Belt   (final drive),Hydraulic telescopic fork with 32 mm stanchions. ,Engine unit acting as swingarm. Single hydraulic shock absorber with adjustable spring preload. Wheel travel 84 mm,120/70-14 ,120/70-14 ,Single disc. Stainless steel disc with twin piston floating caliper,Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,1950 mm (76.8 inches),740 mm (29.1 inches),1358 mm (53.5 inches),7.50 litres (1.98 US gallons),"White, Black 
",Electric,,,,V-belt,,Single cradle frame in high strength steel tube,Light alloy.,,,,2,Automatic centrifugal dry clutch,,,85 mm (3.3 inches),84 mm (3.3 inches),140 mm (5.5 inches),1.50 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Hammer 8-Ball,2013,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel","Single, mono-tube gas, cast aluminum with rising rate linkage, 3.0 in / 76 mm travel, preload adjustable spring",130/70-R18 ,250/40-R18 ,Single disc. Floating rotor with 4-piston calipers. ,Single disc. Floating rotor with 2-piston caliper.,"660 mm (26.0 inches) If adjustable, lowest setting.",,2365 mm (93.1 inches),,1669 mm (65.7 inches),17.03 litres (4.50 US gallons),Gloss Black,Electric,"Self-adjusting cam chains, hydraulic lifters",,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,Staggered slash-cut dual exhaust with crossover,,Dunlop Elite 3 tires,304.8 kg (672.0 pounds),,,4,"Wet, multi-plate",32.7°,140 mm (5.5 inches),,,300 mm (11.8 inches),,,,,135 mm (5.3 inches),,,,,,12 volts / 18 amp hours battery.,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,
Honda XL 125 Varadero,2013,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",11.8:1,42.0 x 45.0 mm (1.7 x 1.8 inches),Injection,Single Overhead Cams (SOHC),Fully transistorised with electronic advance ,,Liquid,5-speed,Chain   (final drive),"35mm telescopic fork, 132mm axle travel ","Monoshock swingarm with adjustable spring preload, 150mm axle travel ",100/90-18 ,130/80-17 ,Single disc. Dual-piston calliper ,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",,2150 mm (84.6 inches),,1450 mm (57.1 inches),16.80 litres (4.44 US gallons),"Black, black/grey, black/red",Electric,90° V-twin,14.2 HP (10.4  kW)) @ 11000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8500 RPM,O-ring sealed chain ,,,Hollow-section triple-spoke cast aluminium,152.0 kg (335.1 pounds),0.0935 HP/kg,,4,,,,,,220 mm (8.7 inches),2.70 litres (0.71 US gallons),,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Qlink XF 200,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),Carburettor. Mikuni,,CDI,,Air,5-speed,Chain   (final drive),Hydraulic fork,Spring Shock Absorber,110/70-17 ,130/70-17 ,Single disc,Expanding brake (drum brake),"907 mm (35.7 inches) If adjustable, lowest setting.",1181 mm (46.5 inches),2225 mm (87.6 inches),831 mm (32.7 inches),1405 mm (55.3 inches),10.26 litres (2.71 US gallons),"Black, silver, orange",,Suzuki engine,15.4 HP (11.2  kW)),14.5 Nm (1.5 kgf-m or 10.7 ft.lbs) @ 8500 RPM,,,Steel,,122.9 kg (271.0 pounds),0.1253 HP/kg,,,,,,,,,,,,,269 mm (10.6 inches),2 Year Limited Warranty,,,,,12 Volt,,,"787 mm (31.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,
Aprilia SR Max 300,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",11.5:1,75.0 x 63.0 mm (3.0 x 2.5 inches),Injection. EFI,Overhead Cams (OHC),,Wet sump.,Liquid,Automatic,Belt   (final drive),35 mm Ø hydraulic telescopic fork ,Double hydraulic shock absorber with three-position spring preload adjustment ,120/70-15 ,140/60-14 ,Single disc,Single disc,"815 mm (32.1 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),2110 mm (83.1 inches),780 mm (30.7 inches),,15.50 litres (4.10 US gallons),"Black, White",Electric,,22.0 HP (16.1  kW)) @ 7250 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,,,Double cradle trellis in high strength steel tubing ,,,,Windscreen,4,Automatic centrifugal dry clutch,,,,,220 mm (8.7 inches),2.80 litres (0.74 US gallons),,,,,,,,,Euro III,,,,,,,,,,,,,,,,,,,,
Longjia Maxx 125 4T,2013,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),,1160 mm (45.7 inches),2050 mm (80.7 inches),695 mm (27.4 inches),1220 mm (48.0 inches),6.00 litres (1.59 US gallons),Orange/grey/white,Electric & kick,,8.9 HP (6.5  kW)) @ 7500 RPM,,,,,,112.0 kg (246.9 pounds),0.0790 HP/kg,Made in China.,,,,,,,,,,,,,,82.0 km/h (51.0 mph),,,,12V7AH battery.,,,,,,,,,,,,,,,,,,,
Honda NC700D Integra,2013,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",670.0 ccm (40.88 cubic inches),"Twin, four-stroke",10.7:1,73.0 x 80.0 mm (2.9 x 3.1 inches),Injection. PGM-Fi,Single Overhead Cams (SOHC),Computer-controlled digital transistorised with electronic advance,,Liquid,Automatic,Chain   (final drive),41mm telescopic fork,"Monoshock damper, Pro-Link swingarm",120/70-ZR17 ,160/60-ZR17 ,Single disc. C-ABS as standard,Single disc. C-ABS as standard,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,1525 mm (60.0 inches),14.10 litres (3.73 US gallons),"Blue, red",Electric,,,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 4750 RPM,,,,Multi-spoke cast aluminium  17M/C x MT3.5,,,Windshield. Sold in Australia and Asia.,,"Wet, multiplate hydraulic 2-clutch",,,120 mm (4.7 inches),120 mm (4.7 inches),240 mm (9.4 inches),,,,238.0 kg (524.7 pounds),135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Sachs SX,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",6.9:1,,Carburettor,,CDI,,,Automatic,Belt   (final drive),Telescopic fork,"Hydraulic, adjustable",120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),"810 mm (31.9 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),1920 mm (75.6 inches),700 mm (27.6 inches),1285 mm (50.6 inches),5.80 litres (1.53 US gallons),"White/red, white/blue",Electric,,3.9 HP (2.8  kW)) @ 6500 RPM,4.3 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 6000 RPM,CVT variomatic,,Steel,Black 3-spoke rims,108.0 kg (238.1 pounds),0.0361 HP/kg,,,,,,,,110 mm (4.3 inches),,,,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,
Kymco Like 125i,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Injection,,,,Air,Automatic,Belt   (final drive),,,120/70-12 ,130/70-12 ,Single disc,Single disc,"775 mm (30.5 inches) If adjustable, lowest setting.",,1915 mm (75.4 inches),690 mm (27.2 inches),,8.00 litres (2.11 US gallons),,Electric,,9.4 HP (6.9  kW)) @ 8000 RPM,,CVT,,,,110.0 kg (242.5 pounds),0.0854 HP/kg,,,,,,,,,,,,,,,104.6 km/h (65.0 mph),,,,,,,,,,,,,,,,,,,,,,,
Road Hopper 2i,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1202.0 ccm (73.35 cubic inches),"V2, four-stroke",,,Injection. EFI,Overhead Valves (OHV),,Dry sump,Air,5-speed,Chain   (final drive),Springer fork ,,4.50-18 ,4.50-18 ,Single disc. Hydraulic,Single disc. Hydraulic,"680 mm (26.8 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2280 mm (89.8 inches),760 mm (29.9 inches),1600 mm (63.0 inches),,"Black, white, brown, green",Electric,HD Evo Sport engine,,,Constant mesh,,Rigid ,,210.0 kg (463.0 pounds),,Japanese brand. Also called Road Hopper Type 2i.,,Wet multi-plate coil spring,33.0°,,,,,,,,,100 mm (3.9 inches),,,Single seat,,,,,,,,,,,,,,,,,,,,,,
Geely JL110-12,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,106.7 ccm (6.51 cubic inches),"Single cylinder, four-stroke",,52.4 x 49.5 mm (2.1 x 1.9 inches),Carburettor,,CDI,"Pressing, splashing",Air,4-speed,Chain   (final drive),,,2.50-17 ,2.75-17 ,Single disc,Expanding brake (drum brake),,1010 mm (39.8 inches),1910 mm (75.2 inches),660 mm (26.0 inches),,5.00 litres (1.32 US gallons),,Electric & kick,,7.0 HP (5.1  kW)) @ 7500 RPM,5.0 Nm (0.5 kgf-m or 3.7 ft.lbs),,,,,,,,,"Wet, multiplate",,,,,,,,,82.0 kg (180.8 pounds),135 mm (5.3 inches),,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster Iron 833,2013,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.3 ccm (53.90 cubic inches),"V2, four-stroke",8.9:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Dry sump,Air,6-speed,Belt   (final drive),,,100/90-B19 ,150/80-B16 ,Single disc,Single disc,"653 mm (25.7 inches) If adjustable, lowest setting.",,2179 mm (85.8 inches),,1519 mm (59.8 inches),12.49 litres (3.30 US gallons),"Candy Orange, Black Denim, Big Blue Pearl",,"Air-cooled, Evolution®",,74.6 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3500 RPM,,"Chrome, staggered shorty exhaust with dual mufflers",,"Black, 13-Spoke Cast Aluminum",251.0 kg (553.3 pounds),,,,Multi-plate with diaphragm spring in oil bath,30.5°,117 mm (4.6 inches),,,,,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,260.0 kg (573.2 pounds),99 mm (3.9 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Boy Special,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1690.0 ccm (103.12 cubic inches),"V2, four-stroke",9.6:1,98.4 x 111.1 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,,,,Air,6-speed,Belt   (final drive),,,140/75-R17 ,200/55-R17 ,Double disc. 4-piston,Single disc. 2-piston,"670 mm (26.4 inches) If adjustable, lowest setting.",,2385 mm (93.9 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),"Anniversary Vintage Bronze/Anniversary Vintage Black, Candy Orange, Black Denim, Vivid Black",,"Air-cooled, Twin Cam 103B™",,134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 3000 RPM,"Primary chain, 34/46 ratio",,,"Black, Bullet Hole Disc Cast Aluminum",313.0 kg (690.0 pounds),,,4,Multi-plate with diaphragm spring in oil bath,31.6°,147 mm (5.8 inches),,,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,330.0 kg (727.5 pounds),125 mm (4.9 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,3.30 litres (3.49 US quarts),"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,,,,,,,,,,,,,,
Triumph Tiger Explorer XC,2013,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1215.0 ccm (74.14 cubic inches),"In-line three, four-stroke",,85.0 x 71.4 mm (3.3 x 2.8 inches),Injection. Drive by wire. fuel injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),"KYB 46mm upside down forks, 190mm travel","KYB monoshock with remote oil reservoir, hydraulically adjustable preload, rebound damping adjustment, 194mm rear wheel travel",110/80-19 ,150/70-17 ,"Double disc. Floating discs, Nissin 4-piston calipers, Switchable ABS","Single disc. Nissin 2-piston sliding caliper, Switchable ABS","837 mm (33.0 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),2248 mm (88.5 inches),885 mm (34.8 inches),1435 mm (56.5 inches),20.00 litres (5.28 US gallons),Green,Electric,,137.0 HP (100.0  kW)) @ 9300 RPM,121.0 Nm (12.3 kgf-m or 89.2 ft.lbs) @ 6400 RPM,,Stainless steel 3 into 1 . side mounted stainless steel silencer,Tubular steel trellis frame,"Spoked, aluminium rims",,,,4,Wet. multi-plate,23.9°,91 mm (3.6 inches),,,,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,259.0 kg (571.0 pounds),,,,,,,,4.00 litres (4.23 US quarts),"LCD instrument pack with digital speedometer, analogue tachometer, gear position indicator, fuel gauge, range to empty, service indicator, clock, air temperature, frost warning, hazard warning lights, trip computer, Tyre pressure monitoring system ",,,,,,,,,,,,,,,,,
Triumph Street Triple,2013,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",675.0 ccm (41.19 cubic inches),"In-line three, four-stroke",12.7:1,74.0 x 52.3 mm (2.9 x 2.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Liquid,6-speed,Chain   (final drive),KYB 41mm upside down forks. 120mm travel,KYB monoshock with 124.5mm rear wheel travel,120/70-ZR17 ,180/55-ZR17 ,Double disc. Nissin 2-piston sliding calipers. Switchable ABS.,Single disc. Brembo single piston caliper. Switchable ABS.,"800 mm (31.5 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2055 mm (80.9 inches),740 mm (29.1 inches),1410 mm (55.5 inches),17.40 litres (4.60 US gallons),"Black. Blue, White",Electric,,106.0 HP (77.4  kW)) @ 11700 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 9200 RPM,O ring chain,Stainless steel 3 into 1 into 2 exhaust system with twin high level  polished stainless steel silencers,"Aluminium beam twin-spar. Braced, twin-sided, cast aluminium alloy swing arm.",,,,,4,Wet. multi-plate,24.1°,100 mm (3.9 inches),,,220 mm (8.7 inches),,,,182.0 kg (401.2 pounds),,2 year warranty unlimited mileage,,,,,,3.50 litres (3.7 US quarts),"LCD multi-functional instrument pack with digital speedometer, fuel gauge, trip computer, analogue tachometer, lap timer, gear position indicator, programmable gear change lights, clock, TPMS ready and switchable ABS.",,,,,,,,,,,,,,,,,
Vento Phantom R5,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,57.4 x 57.8 mm (2.3 x 2.3 inches),Injection,,CDI,,Air,Automatic,Belt   (final drive),Telescopic hydraulic fork,"Hydraulic, twin shock",130/60-13 ,130/60-13 ,Single disc. Hydraulic,Single disc. Hydraulic,"975 mm (38.4 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),1890 mm (74.4 inches),,,5.29 litres (1.40 US gallons),Red,Electric,,9.4 HP (6.9  kW)) @ 7600 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5100 RPM,,Silvertone bullet exhaust pipe,,Lightweight Cast-Aluminum 3-Spoke,103.9 kg (229.0 pounds),0.0905 HP/kg,,,,,,,,,,,,,,1 year/5000 miles limited warranty.,,Silktouch polyurethane seat,Dual front light,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750,2013,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Ride by Wire integrated engine control system. ,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated with the injection",Wet sump,Liquid,6-speed,Chain   (final drive),43 mm upside-down fork.,Aluminium alloy swingarm with reinforcement truss.  Hydraulic shock absorber adjustable in spring preload and rebound damping. ,120/70-17 ,180/55-17 ,Double disc. Stainless steel floating discs. Four piston radial calipers. Metal braided brake line,Single disc. Single piston caliper,"810 mm (31.9 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Silver, black,  white",Electric,Longitudinal 90° V-twin,95.0 HP (69.3  kW)) @ 9000 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 7000 RPM,"Primary drive: Spur gears, transmission ratio: 60/31 (1.75)  Final drive: Chain Transmission ratio: 16/44",2 into 1 exhaust system in 100% stainless steel with three-way catalytic converter and lambda probe ,Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable rear subframe. ,,,,,4,"Multi-plate in oil bath, hydraulically operated.",25.7°,109 mm (4.3 inches),120 mm (4.7 inches),130 mm (5.1 inches),240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 1190 Adventure R,2013,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1195.0 ccm (72.92 cubic inches),"Twin, four-stroke",,105.0 x 69.0 mm (4.1 x 2.7 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Forced oil lubrication with 3 rotor pumps,Liquid,6-speed,Chain   (final drive),WP  Suspension Up Side Down,WP  Suspension monoshock,,,Double disc. Four-piston calipers. Radially mounted. ,Single disc. Two-piston calipers. ,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,1580 mm (62.2 inches),23.00 litres (6.08 US gallons),Black/orange,Electric,,147.5 HP (107.7  kW)),,5/8  x  5/16  X Ring. Primary drive: 40:76.,,"Tubular space frame made from chrome molybdenum steel, powder-coated",,217.0 kg (478.4 pounds),0.6798 HP/kg,,,PASC  anti-hopping clutch/ hydraulically operated,26.0°,,190 mm (7.5 inches),190 mm (7.5 inches),267 mm (10.5 inches),,,,,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VJF 125 RoadWin,2013,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,56.0 x 50.7 mm (2.2 x 2.0 inches),Injection. EFI,,Electric/ECU,,Oil & air,5-speed,Chain   (final drive),Telescopic,Swing Arm,110/70-17 ,140/60-17 ,Single disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",,2025 mm (79.7 inches),778 mm (30.6 inches),1380 mm (54.3 inches),16.00 litres (4.23 US gallons),"White, black, blue",Electric,,,,,,Steel,,130.0 kg (286.6 pounds),,,,Wet multi-plate,,,,,,,,,,150 mm (5.9 inches),,,,,Euro III,,,Analogue and digital ,,,,,,,,,,,,,,,,,
