Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Moto Morini Granpasso 1200,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",118.0 HP (86.1  kW)) @ 8400 RPM,103.6 Nm (10.6 kgf-m or 76.4 ft.lbs) @ 7000 RPM,12.2:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Liquid,6-speed,Chain   (final drive),High-strength steel tube trellis ,Marzocchi Upside Down,Öhlins mono-shock-absorber on  the side,"Double disc. Brembo, 2-piston caliper",255 mm (10.0 inches),Single disc. Brembo,Hot worked aluminium alloy,,"830 mm (32.7 inches) If adjustable, lowest setting.",1180 mm (46.5 inches),2200 mm (86.6 inches),930 mm (36.6 inches),360 mm (14.2 inches),1480 mm (58.3 inches),,White,Electric,,Injection,"Forced, with trochoidal pump",100/80-R19 ,180/55-R17 ,210.0 kg (463.0 pounds),87 degree longitudinal V-twin. ,4,Double Overhead Cams/Twin Cam (DOHC),,Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,,"Euro 3, 3-way catalyst,  lambda probe",,26.5°,135 mm (5.3 inches),175 mm (6.9 inches),200 mm (7.9 inches),,0.5619 HP/kg,"875 mm (34.4 inches) If adjustable, highest setting.",,3 years.,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT1200Z Super Tenere,2018,Super motard," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"Twin, four-stroke",112.0 HP (81.8  kW)) @ 7500 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6000 RPM,11.0:1,98.0 x 79.5 mm (3.9 x 3.1 inches),Liquid,6-speed,Shaft drive (cardan)   (final drive),Steel tube backbone,"Telescopic fork, 43mm tube, adjustable preload, compression and rebound damping, 7.5-in travel","Monoshock, adjustable preload and rebound damping, 7.5-in of travel",Double disc. ABS. Hydraulic. ,282 mm (11.1 inches),Single disc. ABS,,257.0 kg (566.6 pounds),"846 mm (33.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),2256 mm (88.8 inches),980 mm (38.6 inches),190 mm (7.5 inches),1539 mm (60.6 inches),23.09 litres (6.10 US gallons),"Blue, Black",Electric,Windshield. ,Injection. Fuel Injection with YCC-T,Dry sump,110/80-R19 ,150/70-R17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Transistor Controlled Ignition,,Constant mesh,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,28.0°,126 mm (5.0 inches),191 mm (7.5 inches),191 mm (7.5 inches),,,,,1 Year Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX250 Final Edition,2018,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)) @ 7500 RPM,20.5 Nm (2.1 kgf-m or 15.1 ft.lbs) @ 7000 RPM,11.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Liquid,6-speed,Chain   (final drive),"Tubular, semi-double cradle",43 mm inverted telescopic fork ,Uni-Trak. ,Single disc. Dual-piston,240 mm (9.4 inches),Single disc. Single-piston,Wire spoked,138.0 kg (304.3 pounds),"890 mm (35.0 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2200 mm (86.6 inches),820 mm (32.3 inches),285 mm (11.2 inches),1430 mm (56.3 inches),7.70 litres (2.03 US gallons),Lime Green/blue/pink/black/white,Electric,,Injection,"Forced lubrication, wet sump",3.00-21 ,4.60-18 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,"Wet multi-disc, manual",Sealed chain,,,,,26.6°,106 mm (4.2 inches),255 mm (10.0 inches),230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 1090 Adventure,2018,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1050.0 ccm (64.07 cubic inches),"Twin, four-stroke",125.0 HP (91.2  kW)),,,103.0 x 63.0 mm (4.1 x 2.5 inches),Liquid,6-speed,Chain   (final drive),"Chromium-Molybdenum steel trellis frame, powder coated",WP upside-down Ø 43 mm,WP monoshock,Double disc. ABS. Four-piston calipers. Radially mounted. Brembo,267 mm (10.5 inches),Single disc. ABS. Two-piston calipers. Brembo.,Metzeler Tourance Next tires,,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,220 mm (8.7 inches),1560 mm (61.4 inches),23.00 litres (6.08 US gallons),Orange/black,Electric,Small windscreen. Ride-by-wire system. Traction control with different modes.,Injection,Forced oil lubrication with 3 oil pump,110/80-R19 ,150/90-R17 ,205.0 kg (451.9 pounds),75° V arrangement,,,"Keihin EMS with RBW, twin ignition","PASC slipper clutch, hydraulically actuated",5/8  x  5/16 X Ring. Primary drive: 40:76.,,,,,26.0°,,185 mm (7.3 inches),190 mm (7.5 inches),,0.6098 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 1290 Super Duke R,2018,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1301.0 ccm (79.39 cubic inches),"V2, four-stroke",177.0 HP (129.2  kW)),,,108.0 x 71.0 mm (4.3 x 2.8 inches),Liquid,6-speed,Chain   (final drive),"Chromium-Molybdenum steel trellis frame, powder coated",WP USD Ø 48 mm,WP Monoshock ,Double disc. ABS. Radially mounted four-piston brake calipers ,240 mm (9.4 inches),Single disc. ABS. Two-piston brake caliper. fixed brake disc ,Metzeler M7RR tires,,"835 mm (32.9 inches) If adjustable, lowest setting.",,,,140 mm (5.5 inches),1482 mm (58.3 inches),18.00 litres (4.76 US gallons),"Black/white, black/silver/orange",Electric,Traction Control. Ride-by-wire.,Injection,Forced oil lubrication with 3 pumps ,,,195.0 kg (429.9 pounds),75° V arrangement,4,Double Overhead Cams/Twin Cam (DOHC),"Keihin EMS with RBW, twin ignition","PASC slipper clutch, hydraulically actuated",,,,,,,,125 mm (4.9 inches),156 mm (6.1 inches),,0.9077 HP/kg,,Analog and digital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FE 450,2018,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,11.8:1,95.0 x 63.4 mm (3.7 x 2.5 inches),Liquid,6-speed,Chain   (final drive),25CrMo4 steel central-tube,WP-USD Xplor 48 with preload adjuster,WP shock absorber with linkage,Single disc. Magura twin-piston floating calliper ,220 mm (8.7 inches),Single disc. Magura single-piston floating calliper ,Wire spoked,,"970 mm (38.2 inches) If adjustable, lowest setting.",,,,345 mm (13.6 inches),1482 mm (58.3 inches),8.50 litres (2.25 US gallons),White/blue/yellow,Electric & kick,,Carburettor,,90/90-21 ,140/80-18 ,110.4 kg (243.4 pounds),,,Single Overhead Cams (SOHC),Keihin EMS,"Wet, DDS multi-disc clutch, Magura hydraulics",X-Ring 5/8 x 1/4´ chain,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR5 Enduro 250,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",27.5 HP (20.1  kW)) @ 8000 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 7000 RPM,,77.0 x 53.6 mm (3.0 x 2.1 inches),Oil & air,6-speed,Chain   (final drive),Composite aluminum/steel,"ZF Sachs 48 mm, fully adjustable","ZF Sachs progressive system with reser, fully adjustable",Single disc,220 mm (8.7 inches),Single disc,,123.0 kg (271.2 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,,,320 mm (12.6 inches),1460 mm (57.5 inches),7.00 litres (1.85 US gallons),White/red/gray,Electric,AJP is a Portuguese brand.,Injection. Delphi fuel injection system 34mm,,90/90-21 ,120/80-18 ,,,4,Overhead Cams (OHC),,"Oil bath, multidisc",,,,,,,,300 mm (11.8 inches),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Renegade Classic,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,11.0:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Liquid,5-speed,Chain   (final drive),,"Telescopic fork, dia 41mm",Gas - Spring Shockabsorber,Single disc,280 mm (11.0 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2290 mm (90.2 inches),800 mm (31.5 inches),140 mm (5.5 inches),1550 mm (61.0 inches),18.00 litres (4.76 US gallons),"Candy Copper, Metalic Black, Candy Purple",Electric,,Injection. Mikuni,,110/90-16 ,140/90-15 ,153.0 kg (337.3 pounds),,,,CDI,,,,,Euro IV,,,,110 mm (4.3 inches),65 mm (2.6 inches),,0.0789 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Scrambler Sport,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 9500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6000 RPM,12.8:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Liquid,5-speed,Chain   (final drive),,Hydraulic Telescopic fork,Single shock,Single disc. Hydraulic. ,220 mm (8.7 inches),Single disc. Hydraulic. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2045 mm (80.5 inches),720 mm (28.3 inches),120 mm (4.7 inches),1340 mm (52.8 inches),10.50 litres (2.77 US gallons),Black/red/gray,Electric & kick,,Injection. Marelli,,100/90-18 ,130/80-17 ,130.0 kg (286.6 pounds),,,,CDI,,,,,,,,,130 mm (5.1 inches),52 mm (2.0 inches),,0.0743 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta V200 Special,2018,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",168.9 ccm (10.31 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 7500 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 5500 RPM,10.2:1,,Air,Automatic,Belt   (final drive),Underbone,Telescopic fork,Single hydraulic shock absorber,Single disc. ABS,220 mm (8.7 inches),Single disc. ABS,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1900 mm (74.8 inches),600 mm (23.6 inches),,1330 mm (52.4 inches),6.50 litres (1.72 US gallons),"Grey, orange",Electric,"Sold by Innocenti SA, Switzerland.",Injection,,110/70-12 ,120/70-12 ,86.2 kg (190.0 pounds),,,Overhead Cams (OHC),ECU,,CVT,,,Euro 4,,,,,,Dual seat,0.1385 HP/kg,,,2-Year Limited Warranty,,,Underseat storage,,,,,,,,,,,,,,,,,,,,,,,
Lehman Trikes Roadmaster,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,151.0 Nm (15.4 kgf-m or 111.4 ft.lbs) @ 2100 RPM,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Air,6-speed,Belt   (final drive),Cast Aluminum Frame with Integrated Air-Box,Telescopic forks,Single shock with air adjust,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,Cast wheels,,"673 mm (26.5 inches) If adjustable, lowest setting.",1572 mm (61.9 inches),2781 mm (109.5 inches),1511 mm (59.5 inches),140 mm (5.5 inches),1753 mm (69.0 inches),20.80 litres (5.50 US gallons),,Electric,Sold as a conversion kit for Indian  Roadmaster motorcycles. ,Injection. Closed Loop Sequential Port Fuel Injection,,130/90-B16 ,180/60-R16 ,,Thunder Stroke® 111 engine,,,,"Wet, Multi-Plate",,,,,Split dual exhaust with cross-over,25.0°,150 mm (5.9 inches),119 mm (4.7 inches),114 mm (4.5 inches),,,,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",2 years,,,Trunc,,,,,,,,,,,,,,,,,,,,,,,
Lambretta V50 Special Flex,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",3.5 HP (2.5  kW)) @ 7500 RPM,3.4 Nm (0.3 kgf-m or 2.5 ft.lbs) @ 6500 RPM,12.6:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Air,Automatic,Belt   (final drive),Underbone,Telescopic fork,Single hydraulic shock absorber,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",,1900 mm (74.8 inches),600 mm (23.6 inches),,,6.50 litres (1.72 US gallons),"Grey, orange",Electric,"Sold by Innocenti SA, Switzerland.",,,110/70-12 ,120/70-12 ,86.2 kg (190.0 pounds),,,Overhead Cams (OHC),C.D.I,,CVT,,,Euro 4,,,,,,Dual seat,0.0405 HP/kg,,,2-Year Limited Warranty,,,Underseat storage,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,
Husqvarna FC 350,2018,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",58.0 HP (42.3  kW)),,,88.0 x 57.5 mm (3.5 x 2.3 inches),Liquid,5-speed,Chain   (final drive),25CrMo4 steel central-tube,"WP-USD, AER 48, Ø 48 mm",WP Monoshock with linkage,Single disc. Brembo twin-piston floating calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,2260 mm (89.0 inches),,370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),White/blue/yellow,Electric,,Carburettor,,90/90-21 ,140/90-18 ,100.4 kg (221.3 pounds),,,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,"Wet, multi-disc clutch, Magura hydraulics",,,,,,26.5°,,300 mm (11.8 inches),300 mm (11.8 inches),,0.5777 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RMX450Z,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,11.6:1,96.0 x 62.1 mm (3.8 x 2.4 inches),Liquid,5-speed,Chain   (final drive),,"Inverted telescopic, coil spring, oil damped, adjustable damping force ","Link type, coil spring, oil damped, adjustable spring preload  and  damping force ",Single disc,,Single disc,,123.5 kg (272.3 pounds),"950 mm (37.4 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),2185 mm (86.0 inches),830 mm (32.7 inches),320 mm (12.6 inches),1495 mm (58.9 inches),6.20 litres (1.64 US gallons),Championship Yellow with black/blue accents ,Electric & kick,,Injection,Suzuki Advanced Sump System,80/100-21 ,110/100-18 ,,Aluminum cylinder with Suzuki Composite Electrochemical Material (SCEM) coating,4,Double Overhead Cams/Twin Cam (DOHC),CDI,,,,,,,,,,,,,,,6 month limited warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raptor 700R,2018,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",,,9.2:1,102.0 x 84.0 mm (4.0 x 3.3 inches),Liquid,5-speed,Chain   (final drive),Hybrid steel and aluminum frame ,"Independent double wishbone w/piggyback high/low-speed compression, rebound and threaded preload adjustmen","Cast aluminum swing arm w/piggyback high/low-speed compression, rebound and threaded preload adjustment",Double disc. Two-Piston Caliper,,Single disc,Aluminum wheels. Maxxis tyres.,192.0 kg (423.3 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),1845 mm (72.6 inches),1155 mm (45.5 inches),113 mm (4.4 inches),1280 mm (50.4 inches),11.00 litres (2.91 US gallons),Team Yamaha Blue/White,Electric,,"Injection. Yamaha Fuel Injection (YFI), 44mm",Dry sump,21/7-10 ,20/10-9 ,,,4,Single Overhead Cams (SOHC),,,"X-ring chain, 2WD",,,,,,,231 mm (9.1 inches),257 mm (10.1 inches),,,,LED instrument panel,6 months (unlimited mileage),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R125 GP,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 10000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 8000 RPM,11.0:1,62.0 x 41.2 mm (2.4 x 1.6 inches),Liquid,6-speed,Chain   (final drive),,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Single disc. Petal,,Single disc. Petal,,134.0 kg (295.4 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),2000 mm (78.7 inches),700 mm (27.6 inches),155 mm (6.1 inches),1300 mm (51.2 inches),11.00 litres (2.91 US gallons),Blue,Electric,,Injection,Wet sump,90/80-M17 ,130/70-M17 ,,,,Double Overhead Cams/Twin Cam (DOHC),Electric,"Wet, multi-disc",,1.92 litres/100 km (52.1 km/l or 122.51 mpg),44.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Scooter SG250 Cafe Racer,2018,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",229.5 ccm (14.00 cubic inches),"Single cylinder, four-stroke",16.1 HP (11.8  kW)) @ 7000 RPM,18.3 Nm (1.9 kgf-m or 13.5 ft.lbs) @ 5500 RPM,8.7:1,67.0 x 65.0 mm (2.6 x 2.6 inches),Air,5-speed,Chain   (final drive),,Inverted forks,Preload adjustable monoshock,Single disc,,Expanding brake (drum brake),,,"660 mm (26.0 inches) If adjustable, lowest setting.",,,,160 mm (6.3 inches),1290 mm (50.8 inches),15.14 litres (4.00 US gallons),Black/grey,Electric,Brand often abbreviated CSC motorcycles. Bike made in China by Zongshen.,Injection. Delphi EFI,,110/70-17 ,130/70-17 ,123.8 kg (273.0 pounds),Balance shaft,4,Overhead Valves (OHV),CDI,,,,,,,,,,,,0.1300 HP/kg,,LCD Display,"2 years unlimited mileage. The first year is parts and labor, the second year is parts only.",,,,,,109.4 km/h (68.0 mph),,,,,,,,,,,,,,,,,,,,
Suzuki TU250 Grass Tracker,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",18.8 HP (13.7  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 5500 RPM,9.2:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Air,5-speed,Chain   (final drive),"Steel, diamond frame",Telescopic fork,Dual shocks,Single disc,,Expanding brake (drum brake),Spoke wheels,136.0 kg (299.8 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2050 mm (80.7 inches),900 mm (35.4 inches),160 mm (6.3 inches),1402 mm (55.2 inches),8.40 litres (2.22 US gallons),,Electric,Sold in Japan.,Injection,Wet sump,90/90-18 ,110/90-18 ,,,2,Single Overhead Cams (SOHC),Transistorized,Wet multi-plate coil spring,,2.04 litres/100 km (49.0 km/l or 115.30 mpg),47.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Three-way catalytic muffler,28.0°,107 mm (4.2 inches),,,,,,,12 month unlimited mileage,,,,,1.70 litres (1.8 US quarts),,,,,,,,,,,,,,,,,,,,,
Ducati XDiavel Special Thiverval by Fred Krugger,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1262.0 ccm (77.01 cubic inches),"V2, four-stroke",152.0 HP (110.9  kW)) @ 9500 RPM,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 5000 RPM,13.0:1,106.0 x 71.5 mm (4.2 x 2.8 inches),Liquid,6-speed,Belt   (final drive),Tubular steel trellis,Usd forks,"Single shock absorber, Adjustable preload and rebound",Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,"Light alloy, Cast",,,,2235 mm (88.0 inches),,,1615 mm (63.6 inches),17.00 litres (4.49 US gallons),Black/chrome,Electric,,Injection. Bosch fuel injection system. Full ride-by-wire system.,,,,,Ducati Testastretta DVT (Desmodromic Variable Timing) engine,4,Desmodromic valve control,Dual spark,Slipper and self-servo wet multiplate clutch with hydraulic control.,,,,Euro 4,Dual oval exits,30.0°,130 mm (5.1 inches),,,,,,TFT colour display and dedicated warning light display,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 402 S,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.3 ccm (24.37 cubic inches),"Twin, four-stroke",39.4 HP (28.8  kW)) @ 9000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 7000 RPM,11.5:1,69.0 x 53.4 mm (2.7 x 2.1 inches),Liquid,6-speed,Chain   (final drive),Steel trestle in steel tubes,Inverted hydraulic damping shock absorber,"Rear swing arm in steel pipes, rear shock absorber with spring preload adjustmen",Double disc,240 mm (9.4 inches),Single disc,Aluminum alloy,,"740 mm (29.1 inches) If adjustable, lowest setting.",1278 mm (50.3 inches),2276 mm (89.6 inches),928 mm (36.5 inches),180 mm (7.1 inches),1405 mm (55.3 inches),16.00 litres (4.23 US gallons),Black,Electric,,Injection,,120/70-ZR17 ,160/60-ZR17 ,160.0 kg (352.7 pounds),Horizontal cylinder,4,Double Overhead Cams/Twin Cam (DOHC),,Wet  ,,,,,,,,125 mm (4.9 inches),45 mm (1.8 inches),,0.2463 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM Spitfire Cafe Racer,2018,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,12.0:1,100.0 x 76.5 mm (3.9 x 3.0 inches),Liquid,6-speed,Chain   (final drive),"High strength steel, Hand Tig welded","Telescopic fork, adjsutable","Single shock, adjustable",Single disc,240 mm (9.4 inches),Single disc,Maxxis DTR1 Tubed FlatTrack Race tyre,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2117 mm (83.3 inches),,250 mm (9.8 inches),1423 mm (56.0 inches),14.00 litres (3.70 US gallons),Silver,Electric,,Injection. Mikuni D45,,130/70-19 ,130/70-19 ,135.0 kg (297.6 pounds),,,,,"Multiple-disc, wet, Hydraulic control",,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,118 mm (4.6 inches),120 mm (4.7 inches),120 mm (4.7 inches),Extended Single – leather/vinyl,0.4074 HP/kg,,,,,Twin stack LED lights,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,
