Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Vespa GTS 300 75th,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",,75.0 x 63.0 mm (3.0 x 2.5 inches),4,Injection,,Liquid,Belt   (final drive),,Single arm with helical spring and hydraulic shock absorber,,Double hydraulic shock absorber with helical spring with preload adjustable in 4 positions,,120/70-12 ,130/70-12 ,Single disc. ABS. Hydraulic.,Single disc. ABS. Hydraulic.,,"790 mm (31.1 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),1950 mm (76.8 inches),755 mm (29.7 inches),,1370 mm (53.9 inches),8.50 litres (2.25 US gallons),Yellow,Electric,"2 years, unlimited mileage",,23.8 HP (17.4  kW)) @ 7750 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 5250 RPM,,,Automatic,Automatic dry centrifugal clutch with vibration dampers,3.21 litres/100 km (31.2 km/l or 73.28 mpg),74.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Sheet steel shell with welded structural reinforcements,,220 mm (8.7 inches),Alloy rims,,158.0 kg (348.3 pounds),0.1506 HP/kg,,,Traction control. USB socket.,"Wet sump, chain-driven lobe pump",,,,,Underseat storage,,,,,,,,,CDI,,,,,,,,,,,,,,
Voge Brivido 500,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,471.0 ccm (28.74 cubic inches),"Twin, four-stroke",10.6:1,,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,"Upside down forks, 41 mm",,Monoshock,,120/70-ZR17 ,160/60-ZR17 ,Single disc. ABS,Single disc. ABS,,"790 mm (31.1 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),2100 mm (82.7 inches),770 mm (30.3 inches),,1455 mm (57.3 inches),16.50 litres (4.36 US gallons),Sparkling Grey,Electric,,,46.2 HP (33.7  kW)) @ 8500 RPM,42.5 Nm (4.3 kgf-m or 31.3 ft.lbs) @ 7000 RPM,160.0 km/h (99.4 mph),,6-speed,,4.17 litres/100 km (24.0 km/l or 56.41 mpg),96.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,,,240 mm (9.4 inches),,,186.0 kg (410.1 pounds),0.2484 HP/kg,Digital  ,,Windscreen. Chinese brand.,,,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 650 Urban,2022,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),8,Injection. 36 mm x 2 with dual throttle valves,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,41mm hydraulic telescopic fork ,124 mm (4.9 inches),Horizontal Back-link with adjustable preload,130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS. Two-piston calipers. Petal-type disc.,Single disc. ABS. Single-piston caliper.  Petal-type disc.,193.0 kg (425.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2055 mm (80.9 inches),740 mm (29.1 inches),130 mm (5.1 inches),1410 mm (55.5 inches),15.00 litres (3.96 US gallons),"Lime Green/Ebony/Pearl Blizzard White,
Pearl Robotic White/Metallic Carbon Grey, Metallic Matte Graphenesteel Grey",Electric,12 months,,67.3 HP (49.1  kW)) @ 8000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 6700 RPM,,,6-speed,"Wet multi-disc, Assist  and  Slipper",4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Trellis, high-tensile steel",25.0°,220 mm (8.7 inches),,,,,TFT colour instrumentation,,Smartphone connectivity. Windscreen.,"Forced lubrication, semi‑dry sump",100 mm (3.9 inches),,,LED headlights,Top box,,,,,,,,Akrapovic,,,,,,,,,,,,,,,
TVS Apache RTR 200,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.8 ccm (12.07 cubic inches),"Single cylinder, four-stroke",10.0:1,66.0 x 57.8 mm (2.6 x 2.3 inches),4,Injection,,Oil & air,Chain   (final drive),,Telescopic Forks with Preload Adjuster,,"Mono Tube - Monoshock, Adjustable with 3 step position",,90/90-17 ,130/70-17 ,Single disc. ABS,Single disc. ABS,152.0 kg (335.1 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1050 mm (41.3 inches),2050 mm (80.7 inches),790 mm (31.1 inches),180 mm (7.1 inches),1353 mm (53.3 inches),12.00 litres (3.17 US gallons),"Matte Blue, Gloss Black, Pearl White",Electric,Type,,20.8 HP (15.2  kW)) @ 9000 RPM,17.3 Nm (1.8 kgf-m or 12.7 ft.lbs) @ 7250 RPM,127.0 km/h (78.9 mph),,5-speed,Wet multi plate- slipper clutch with 5 plate,,,,Double Cradle Split Synchro Stiff Frame,,240 mm (9.4 inches),,,,,,"12V, 8Ah battery.",Made in India.,,,,,LED headlight,,,,,,,,,Twin Pipe and Twin Barrel Design,Mapped ignition system,2.50 litres (0.66 US gallons),,,,,,,12.00 seconds,,,,,,
Arctic Cat Alterra 90,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,47.0 x 51.8 mm (1.9 x 2.0 inches),2,Carburettor,Single Overhead Cams (SOHC),Air,Belt   (final drive),"2 WD. Automatic CVT with Forward, Neutral  and  Reverse.",Single A-Arm,76 mm (3.0 inches),Swing Arm,76 mm (3.0 inches),19/8-8 ,19/8-8 ,Expanding brake (drum brake),Single disc. Hydraulic,,,1015 mm (40.0 inches),1500 mm (59.1 inches),875 mm (34.4 inches),115 mm (4.5 inches),965 mm (38.0 inches),5.30 litres (1.40 US gallons),Coyote Tan,Electric & kick,12 months,,,,24.1 km/h (15.0 mph),,Automatic,,,,,,,,Steel. ,,128.5 kg (283.3 pounds),,,,.,,,,,Dual Halogen Headlight / Taillights,Front and Rear Racks ,,,,,,,,,,,,,,,,,,,,,,,
Honda Benly,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",9.5:1,50.0 x 55.0 mm (2.0 x 2.2 inches),2,Injection. PGM-FI,Overhead Cams (OHC),Air,Belt   (final drive),V-matic,Telescopic fork,81 mm (3.2 inches),Unit swing type,73 mm (2.9 inches),90/90-12 ,110/80-10 ,Expanding brake (drum brake),Expanding brake (drum brake),,"710 mm (28.0 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),1815 mm (71.5 inches),680 mm (26.8 inches),115 mm (4.5 inches),1280 mm (50.4 inches),10.00 litres (2.64 US gallons),White,Electric,,,7.8 HP (5.7  kW)) @ 7000 RPM,8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5000 RPM,,,Automatic,Dry multi-plate shoe,1.89 litres/100 km (52.9 km/l or 124.46 mpg),43.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Underbone,26.3°,,,,116.0 kg (255.7 pounds),0.0671 HP/kg,,,Sold in Australia and some Asian countries. Model also called Honda MW110 Benly.,,76 mm (3.0 inches),,,,Large rear rack. Front basket.,,,,,,,,,,,12 moths,,,,,,,,,,,,
Haojue NK 150,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",9.7:1,57.3 x 57.8 mm (2.3 x 2.3 inches),,Carburettor,,Air,Chain   (final drive),,Telescopic fork,,Monoshock,,90/90-19 ,110/70-17 ,Single disc,Expanding brake (drum brake),139.0 kg (306.4 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2070 mm (81.5 inches),825 mm (32.5 inches),244 mm (9.6 inches),1360 mm (53.5 inches),12.50 litres (3.30 US gallons),"Red, White, Black",Electric & kick,,,11.8 HP (8.6  kW)) @ 8000 RPM,11.6 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 6000 RPM,,,5-speed,,,,,,,,,,,,,,Chinese brand.,,,,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
KTM 250 XC-W TPI,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),,Injection,,Liquid,Chain   (final drive),X-Ring 5/8 x 1/4´ chain,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,Single disc,Single disc,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/white/blue,Electric,,Reed intake. ,,,,,6-speed,"Wet multi-disc clutch, Brembo hydraulics",2.55 litres/100 km (39.2 km/l or 92.24 mpg),59.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central double-cradle-type 25CrMo4 steel,26.5°,220 mm (8.7 inches),,,103.4 kg (228.0 pounds),,,2 Ah lithium-ion battery,,,,,,,,,,,,,,,,Continental EMS,,,,,,,,,,,,,,
Kawasaki Z900 SE,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"In-line four, four-stroke",11.8:1,73.4 x 56.0 mm (2.9 x 2.2 inches),4,Injection. DFI  with 36mm Keihin throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,41mm gold colored inverted fork with rebound damping and spring preload adjustability,119 mm (4.7 inches),"Horizontal back-link, Ohlins S46 gas-charged shock with adjustable rebound damping, remote adjustable spring preload",140 mm (5.5 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. ABS. Semi-floating Brembo discs with dual radial-mount, Brembo M4.32 monobloc, four-piston calipers.",Single disc. ABS. petal-style disc with single-piston caliper.,212.1 kg (467.5 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2070 mm (81.5 inches),826 mm (32.5 inches),145 mm (5.7 inches),1455 mm (57.3 inches),17.03 litres (4.50 US gallons),Metallic Spark Black/Candy Lime Green,Electric,12 Month Limited Warranty,,,99.1 Nm (10.1 kgf-m or 73.1 ft.lbs) @ 7700 RPM,,,6-speed,Assist  and  Slipper Clutch,,,,"Trellis, high tensile steel",24.9°,250 mm (9.8 inches),"Black, 5-spoke",,,,TFT Color Instrumentation,,Integrated Riding Modes. Power Mode Selection. Traction control. Smartphone Connectivity.,,109 mm (4.3 inches),,,LED headlight,,,,,,,,,,TCBI with electronic advance,,,,,,,,,,,,,,
Sym Joyride 300,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",,,4,Injection. EFI,,Liquid,Belt   (final drive),Automatic CVT,Telescope fork,,Dual Shock,,120/70-15 ,140/70-14 ,Single disc. ABS. ,Single disc. ABS. ,151.0 kg (332.9 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),2215 mm (87.2 inches),765 mm (30.1 inches),,1500 mm (59.1 inches),11.50 litres (3.04 US gallons),Blue,Electric,,Electroplated ceramic cylinder,25.5 HP (18.6  kW)) @ 8000 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 6000 RPM,,,Automatic,,,,Euro 5,"Steel, underbone",,240 mm (9.4 inches),Cast aluminium,,144.0 kg (317.5 pounds),0.1769 HP/kg,,12 Volt,Windscreen. Scooter made in Taiwan.,,,,,LED headlight,,,,,,,,,,CDI,,,,,,,,,,,,,,
Suzuki RMX450Z,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",11.6:1,96.0 x 62.1 mm (3.8 x 2.4 inches),4,Injection. 41mm throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),"DID 520MXV, 114 links","Inverted telescopic, coil spring, oil damped, adjustable damping force ",,"Link type, coil spring, oil damped, adjustable spring preload  and  damping force ",,80/100-21 ,110/90-18 ,Single disc,Single disc,123.5 kg (272.3 pounds),"950 mm (37.4 inches) If adjustable, lowest setting.",1265 mm (49.8 inches),2185 mm (86.0 inches),840 mm (33.1 inches),320 mm (12.6 inches),1485 mm (58.5 inches),6.20 litres (1.64 US gallons),Championship Yellow,Electric & kick,6 month limited warranty,Aluminum cylinder with Suzuki Composite Electrochemical Material (SCEM) coating,,,,,5-speed,Wet multi-plate,,,,Aluminum alloy twin-spar,,,Black anodized Excel aluminum rims,,,,,,,Semi-dry sump,,,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
Suzuki RM-Z250,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",13.8:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Injection. 44mm throttle body ,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Constant mesh,"Inverted telescopic, coil spring, oil damped, adjustable damping force",,"Single unit, link type, coil spring, oil damped, adjustable spring preload and damping force",,80/100-21 ,100/90-19 ,Single disc. Twin piston,Single disc,106.0 kg (233.7 pounds),"955 mm (37.6 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),2185 mm (86.0 inches),835 mm (32.9 inches),330 mm (13.0 inches),1485 mm (58.5 inches),6.30 litres (1.66 US gallons),Championship Yellow/blue,Kick,No warranty,Aluminum cylinder with Suzuki Composite Electrochemical Material (SCEM) coating,,,,,5-speed,,,,,"Aluminum alloy, twin-spar",,270 mm (10.6 inches),,,,,,,Traction management. Suzuki Holeshot Assist Control.,Semi-dry sump,,,,,,SAE 10W-40,DOT 4,,,,,48 mm (1.9 inches),,CDI,,,,13/50 (front/rear),NGK CR8EIB-10,520,114,,,HiFloFiltro - HF207,,,,
Volta VS2,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,,,Telescopic fork,,Monoshock ,,3.00-10 ,3.00-10 ,Single disc,Expanding brake (drum brake),,,1220 mm (48.0 inches),1650 mm (65.0 inches),660 mm (26.0 inches),,,,"Red, white, black",Electric,,,2.7 HP (2.0  kW)),,45.0 km/h (28.0 mph),,1-speed,,,,,Underbone,,,"Alloy rims, 5 spoke",Dual seat,55.0 kg (121.3 pounds),0.0487 HP/kg,,,72V 22 Ah li-ion battery. 68 km range. Turkish brand.,,,,,,Rear rack,,,,,,,,,,,,,,,,,,,,,,,
Polaris Phoenix 200,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,Shaft drive (cardan)   (final drive),2WD. Automatic PVT F/N/R.,Dual A-Arm,178 mm (7.0 inches),Mono-Shock Swingarm,165 mm (6.5 inches),21/7-10 ,20/10-9 ,Single disc,Expanding brake (drum brake),,"813 mm (32.0 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),1651 mm (65.0 inches),1067 mm (42.0 inches),145 mm (5.7 inches),1143 mm (45.0 inches),9.46 litres (2.50 US gallons),Avalanche Gray,Electric,,,,,61.2 km/h (38.0 mph),,Automatic,,,,,Steel,,200 mm (7.9 inches),Stamped Steel. Duro tires.,,191.0 kg (421.1 pounds),,N/R Light,,Intended for young riders aged 14+.,,,,,"Single Hi/Low Headlight, Single Rear Brakelight/Taillight",,,,,,,,,,,,,,,,,,,,,,,,
Indian Roadmaster Dark Horse,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1890.0 ccm (115.33 cubic inches),"V2, four-stroke",11.0:1,103.2 x 113.0 mm (4.1 x 4.4 inches),,"Injection. Closed loop fuel injection, 54 mm bore",,Air,Belt   (final drive),,Telescopic fork ,119 mm (4.7 inches),Single shock with air adjust,114 mm (4.5 inches),130/60-B19 ,180/60-R16 ,Double disc. ABS. Floating discs. 4 piston caliper.,Single disc. ABS. Floating disc. 2-piston caliper.,403.0 kg (888.5 pounds),"673 mm (26.5 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),2593 mm (102.1 inches),1022 mm (40.2 inches),140 mm (5.5 inches),1668 mm (65.7 inches),20.80 litres (5.50 US gallons),"Black Smoke, Polished Bronze, Silver Quartz Smoke",Electric,"2 Years, Unlimited Miles",Thunder Stroke 116 engine,92.0 HP (67.2  kW)),170.9 Nm (17.4 kgf-m or 126.0 ft.lbs) @ 2900 RPM,,,6-speed,"Wet, Multi-Plate, Assist. Gear Drive Wet Clutch.",,,,Cast Aluminum Frame with Integrated Air-Box,25.0°,300 mm (11.8 inches),10-Spoke Contrast Cut wheels. Metzeler Cruisetec tires.,,389.0 kg (857.6 pounds),0.2365 HP/kg,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",,"Navigation and Apple CarPlay® integration; Power Windshield. Keyless Ignition; 200 Watt Audio System with AM/FM, Bluetooth, USB, Smartphone Compatible Input, and Weatherband; 12V Charging Port.",,150 mm (5.9 inches),,,LED Headlamp / Tail / Brake / Turn Signal,"Remote-locking Hard Saddlebags, Trunk. 36.2 Gallons of Storage.",,,,,,,,Split dual exhaust with cross-over,,,,,,,,,,,,,,,
E-Racer 01,2022,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Liquid,Belt   (final drive),,Fully adjustable Ø48 mm upside-down Öhlins TTX pressurized nitrogen hydraulic fork,,Fully adjustable Öhlins pressurized nitrogen unit with hydraulic spring preload,,120/70-17 ,160/60-17 ,Single disc. Brembo Radial 4-piston calipers.,Expanding brake (drum brake). Regenerative braking,,,,,,,,,,Electric,,,74.0 HP (54.0  kW)),120.0 Nm (12.2 kgf-m or 88.5 ft.lbs),177.0 km/h (110.0 mph),9000,1-speed,Clutchless direct drive,,,,Split crome-molybdenum single-beam,,220 mm (8.7 inches),Wire spoked ,Eco leather and Alcantara® Seat,160.0 kg (352.7 pounds),0.4625 HP/kg,,,"Range approx: 80Km.  Charging:  35 min to full charge on public high-power stations – 1 h 30 min to full charge with domesic plugs with onboard 3Kw charger. Kevlar and carbon fiber, 3d printed nylon body. Italian brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Minicross E,2022,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Chain   (final drive),,Inverted fork 33mm,,Adjustable by air and spring preload,,60/100-12 ,70/100-10 ,Single disc. Hydraulic,Single disc,,"695 mm (27.4 inches) If adjustable, lowest setting.",900 mm (35.4 inches),1400 mm (55.1 inches),600 mm (23.6 inches),290 mm (11.4 inches),1025 mm (40.4 inches),,Red/white/blue,Electric,,,1.0 HP (0.7  kW)),,,,1-speed,,,,No direct emissions,Steel tube,,,,,38.0 kg (83.8 pounds),0.0266 HP/kg,,,Li-ion 36V 13Ah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic XEF 450,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",13.0:1,97.0 x 60.8 mm (3.8 x 2.4 inches),,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,"KYB 48 mm, fully adjustable",310 mm (12.2 inches),"KYB, fully adjustable",317 mm (12.5 inches),90/90-21 ,140/90-18 ,Single disc. Wave disc,Single disc,119.0 kg (262.4 pounds),"955 mm (37.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2175 mm (85.6 inches),955 mm (37.6 inches),,1480 mm (58.3 inches),7.90 litres (2.09 US gallons),Red/black/white,Electric,,Yamaha,,,,,6-speed,Wet  multi-disc,,,Euro 5,Aluminum perimeter,27.2°,245 mm (9.6 inches),,,,,,,,Wet sump,116 mm (4.6 inches),,,,,,,,,,,,,TC!,,,,,,,,,,,,,,
Indian Chief Bobber,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),,Injection. Closed Loop Sequential Port injection,,Air,Belt   (final drive),,Telescopic fork,132 mm (5.2 inches),Dual Shocks w/adjustable preload,75 mm (3.0 inches),130/60-19 ,180/65-16 ,Double disc. Optional ABS. Floating discs. ,Single disc. Optional ABS. Floating disc. ,315.0 kg (694.5 pounds),"662 mm (26.1 inches) If adjustable, lowest setting.",1349 mm (53.1 inches),2286 mm (90.0 inches),915 mm (36.0 inches),125 mm (4.9 inches),1626 mm (64.0 inches),15.14 litres (4.00 US gallons),"Black Metallic, Ruby Metallic",Electric,"2 Years, Unlimited Miles",Thunder Stroke® 111 engine,,146.0 Nm (14.9 kgf-m or 107.7 ft.lbs) @ 3200 RPM,,,6-speed,Wet Multiplate,,,,Cast Aluminum Frame with Integrated Air-Box,29.0°,300 mm (11.8 inches),Wire Spoke wheels. Pirelli Night Dragon tires,Solo vinyl seat with passenger pillion,304.0 kg (670.2 pounds),,Electronic speedometer with odometer; dual tripmeters; digital tachometer; ambient air temperature; fuel range; average fuel economy; battery voltage; gear position display; real-time clock; vehicle trouble code readout; low engine oil pressure,,"Ride Modes, Keyless Ignition, 12V Charge Port, Rear Cylinder Deactivation",,155 mm (6.1 inches),,,"LED Headlight, LED Tail/Brake/Turn Signals",,,,,,,,,Split dual exhaust with cross-over,,,,,,,,,,,,,,,
AJS Insetto 125,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Injection. Delphi ,,Air,Belt   (final drive),,Telescopic fork,,Mono shocks,,120/70-12 ,130/70-12 ,Single disc. Combined braking system,Single disc,,"789 mm (31.1 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),1910 mm (75.2 inches),670 mm (26.4 inches),,1400 mm (55.1 inches),7.20 litres (1.90 US gallons),"Blue, Silver",Electric & kick,12 month,,8.6 HP (6.3  kW)) @ 7500 RPM,,96.6 km/h (60.0 mph),,Automatic,CVT automatic ,2.33 litres/100 km (42.9 km/l or 100.95 mpg),54.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Underbone,,,,,115.0 kg (253.5 pounds),0.0746 HP/kg,,,Sold in the UK.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Chief Dark Horse,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",11.0:1,103.2 x 113.0 mm (4.1 x 4.4 inches),,"Injection. Closed loop fuel injection, 54 mm bore",,Air,Belt   (final drive),,Telescopic fork 46mm,132 mm (5.2 inches),Single shock,75 mm (3.0 inches),130/60-B16 ,180/65-B16 ,Double disc. ABS. Floating discs. ,Single disc. ABS. Floating disc. ,,"662 mm (26.1 inches) If adjustable, lowest setting.",1253 mm (49.3 inches),2286 mm (90.0 inches),922 mm (36.3 inches),142 mm (5.6 inches),1701 mm (67.0 inches),15.00 litres (3.96 US gallons),"Alumina Jade Smoke, Black Smoke, Stealth Gray",Electric,24 months,"Thunder Stroke® 111 engine, blacked out",,161.4 Nm (16.5 kgf-m or 119.0 ft.lbs) @ 2900 RPM,,,6-speed,Gear Drive Wet Clutch,,,,Cast Aluminum Frame with Integrated Air-Box,29.0°,300 mm (11.8 inches),Cast aluminum wheels. Dunlop Elite tires.,Solo vinyl seat with passenger pillion,294.0 kg (648.2 pounds),,"Speedometer, Tachometer, Odometer, fuel gauge, compass, ambient temperature. Gear indicator.",,Keyless starting. Cruise Control.  Ride Modes. USB charge port. 12V Charge Port. Rear Cylinder Deactivation.,,133 mm (5.2 inches),,,"LED Headlight, LED Tail/Brake/Turn Signals",,,,,,,,,Dual exhaust with cross-over,,,,,,,,,,,,,,,
