Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
PGO BuBu 125,2006,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,101.0 ccm (6.16 cubic inches),"Single cylinder, four-stroke",9.5 HP (6.9  kW)) @ 7750 RPM,9.1 Nm (0.9 kgf-m or 6.7 ft.lbs) @ 6500 RPM,51.5 x 60.0 mm (2.0 x 2.4 inches),Carburettor,,,,Air,Belt   (final drive),,,Telescopic,Uni-Absorber,,,Single disc,Expanding brake (drum brake),,1210 mm (47.6 inches),9.5:1,Automatic,Dry plate,,,,,,,101.0 kg (222.7 pounds),0.0943 HP/kg,1060 mm (41.7 inches),1710 mm (67.3 inches),645 mm (25.4 inches),,6.70 litres (1.77 US gallons),"Black, orange, silver",,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Griso,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",88.0 HP (64.2  kW)) @ 8000 RPM,94.9 Nm (9.7 kgf-m or 70.0 ft.lbs) @ 5400 RPM,,Injection.  Weber-Marelli electronic injection with stepper motor,Overhead Valves (OHV),Electronic digital ignition. Twin spark,"Wet sump, forced oil, cartridge filter",Air,,Rectangular Section Single Beam,23.5°,"USD fork, 43 mm fully adjustable",Single sided swing arm with fully adjustable mono shock,120/70-17 ,180/55-17 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),9.8:1,,,,,Stainless steel exhaust system,,,,229.0 kg (504.8 pounds),0.3843 HP/kg,,2250 mm (88.6 inches),870 mm (34.3 inches),,17.03 litres (4.50 US gallons),,Electric,,282 mm (11.1 inches),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 175,2006,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 7000 RPM,18.6 Nm (1.9 kgf-m or 13.7 ft.lbs) @ 5500 RPM,66.0 x 50.0 mm (2.6 x 2.0 inches),Carburettor,,CDI,Autolube,Air,Chain   (final drive),,,Telescopic fork,Swingarm,2.75-21 ,4.10-18 ,Single disc,Single disc,"830 mm (32.7 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),6.7:1,6-speed,,,,,,,,99.0 kg (218.3 pounds),0.1768 HP/kg,1150 mm (45.3 inches),2110 mm (83.1 inches),855 mm (33.7 inches),382 mm (15.0 inches),9.50 litres (2.51 US gallons),"Green, White, Blue",Kick,,,,,,107.0 kg (235.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Achiever,2006,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)),,,Carburettor,,,,Air,Chain   (final drive),Diamond cradle,,,,,,,,,,,5-speed,,,,,,,,134.0 kg (295.4 pounds),0.0746 HP/kg,,,,,,,Kick,,,,,,,101.0 km/h (62.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai Monarch 125,2006,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Overhead Cams (OHC),,,,,Steel,,Hydraulic fork,2 hydraulic shoch absorbers,110/90-12 ,130/90-12 ,Single disc,Single disc,,,,,,,,,,,,135.0 kg (297.6 pounds),,,2110 mm (83.1 inches),765 mm (30.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Audio Comfort Navi ABS,2006,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,74.0 x 71.0 mm (2.9 x 2.8 inches),Injection.  Programmed Fuel Injection (PGM-FI) with automatic choke,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,Shaft drive (cardan)   (final drive),,29.2°,"45.0mm cartridge fork with anti-dive system, 5.5-inch travel",Pro-Arm single-side swingarm with Pro-Link single shock with computer-controlled spring-preload adjustment with two memory presets,130/70-R18 ,180/60-R16 ,Double disc,Single disc,"739 mm (29.1 inches) If adjustable, lowest setting.",1692 mm (66.6 inches),9.8:1,5-speed,,,,,109 mm (4.3 inches),,104 mm (4.1 inches),380.1 kg (838.0 pounds),,,,,,24.98 litres (6.60 US gallons),"Black, White, Dark Red, Titanium, Gold",Electric,Model ID: GL18HPNA,316 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 GS,2006,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Twin, four-stroke",99.2 HP (72.4  kW)) @ 7000 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 5500 RPM,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection.  Electronic intake pipe injection/digital engine management: BMS-K with overrun fuel cut-off, dual ignition",,,,Oil & air,Shaft drive (cardan)   (final drive),"Three-section frame consisting of front and rear section, load bearing engine-gearbox unit",27.1°,BMW Motorrad Telelever,Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever,110/80-R19 ,150/70-R17 ,Double disc,Double disc,"840 mm (33.1 inches) If adjustable, lowest setting.",1520 mm (59.8 inches),11.0:1,6-speed,,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,110 mm (4.3 inches),41 mm (1.6 inches),220 mm (8.7 inches),199.0 kg (438.7 pounds),0.4986 HP/kg,1430 mm (56.3 inches),2210 mm (87.0 inches),915 mm (36.0 inches),,20.00 litres (5.28 US gallons),,,,265 mm (10.4 inches),,4,,225.0 kg (496.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Aragon GP 50,2006,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.9 HP (2.8  kW)) @ 6500 RPM,,,Carburettor,,,,Air,,,,Hydraulic telescop fork,,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,,,1145 mm (45.1 inches),1790 mm (70.5 inches),650 mm (25.6 inches),,8.00 litres (2.11 US gallons),"Dark blue, light blue/yellow, dark blue/yellow, silver/red, red/white",Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa GTS 250 I.E.,2006,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",21.1 HP (15.4  kW)) @ 8500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,72.0 x 60.0 mm (2.8 x 2.4 inches),Injection,Single Overhead Cams (SOHC),,Wet sump,Liquid,Belt   (final drive),,,Single-arm with dual-acting hydraulic shock absorber and co-axial spring,Twin dual action shock absorbers with adjustable pre-load,120/70-12 ,130/70-12 ,Single disc,Single disc,"755 mm (29.7 inches) If adjustable, lowest setting.",,,Automatic,,,,,,,,,,,1930 mm (76.0 inches),,,9.20 litres (2.43 US gallons),,Electric,,220 mm (8.7 inches),,4,,151.0 kg (332.9 pounds),122.0 km/h (75.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
MZ SM Gangsta,2006,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,,,,,,,Chain   (final drive),,,Telescopic fork,Rear monoshock,110/70-;17 ,130/70-17 ,Single disc,Single disc,"830 mm (32.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),,,,,,,,,,129.5 kg (285.5 pounds),0.1139 HP/kg,,,,,12.50 litres (3.30 US gallons),,,,,,,,,177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Ciak Master 125,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),,,Air,Belt   (final drive),High  Resistance tubular  steel frame split at the footboard level,,Telescopic hydraulic fork,Swinging engine and 2 hydraulic shock absorbers,100/80-16 ,110/80-16 ,Single disc,Expanding brake (drum brake),"770 mm (30.3 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),9.6:1,,Automatic centrifugal dry clutch,,,Catalyst exhaust system,,,,117.0 kg (257.9 pounds),,1200 mm (47.2 inches),2020 mm (79.5 inches),,,8.00 litres (2.11 US gallons),,Electric & kick,,130 mm (5.1 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BWs Naked,2006,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 6500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),,,Electronic (C.D.I.),Seperate lubrification,Air,Chain   (final drive),Front suspension system,,Hydraulic and telescopic fork,Hydraulic unit swing,120/90-10 ,150/80-10 ,Single disc,Expanding brake (drum brake),"768 mm (30.2 inches) If adjustable, lowest setting.",1172 mm (46.1 inches),7.2:1,5-speed,Automatic centrifugal,,,,,,,75.0 kg (165.3 pounds),0.0428 HP/kg,1051 mm (41.4 inches),1685 mm (66.3 inches),754 mm (29.7 inches),124 mm (4.9 inches),5.30 litres (1.40 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Sportmate 50,2006,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)),,,Carburettor,,,,Air,,,,,,,,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,65.0 kg (143.3 pounds),0.0474 HP/kg,,,,,3.50 litres (0.92 US gallons),,Electric,,,0.50 litres (0.13 US gallons),,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 560 SMR,2006,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",565.5 ccm (34.51 cubic inches),"Single cylinder, four-stroke",,42.5 Nm (4.3 kgf-m or 31.3 ft.lbs) @ 3250 RPM,100.0 x 72.0 mm (3.9 x 2.8 inches),Carburettor.  Mikuni BST 40,Overhead Cams (OHC),Kokusan digital 4K-3A,Pressure lubrication with 2 oil pumps,Liquid,Chain   (final drive),"Double ground, chrome-moly-steel frame, powder-coated",26.5°,WP-USD   48 mm (1.89 inches),WP-PDS Monoshock,120/75-17 ,165/55-17 ,Single disc,Single disc,"855 mm (33.7 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),11.0:1,6-speed,"Multi-disc wet clutch, hydraulically operated",,,Aluminum,90 mm (3.5 inches),300 mm (11.8 inches),335 mm (13.2 inches),109.5 kg (241.4 pounds),,,,560 mm (22.0 inches),310 mm (12.2 inches),7.00 litres (1.85 US gallons),,Kick,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T100,2006,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",67.0 HP (48.9  kW)) @ 7300 RPM,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 7200 RPM,90.0 x 68.0 mm (3.5 x 2.7 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Digital - inductive type,,Air,Chain   (final drive),Tubular steel cradle,28.0°,41mm forks,Chromed spring twin shocks with adjustable preloads,100/90-19 ,130/80-17 ,Single disc,Single disc,"775 mm (30.5 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),9.2:1,5-speed,Wet. multi-plate,,,,,,,205.0 kg (451.9 pounds),0.3268 HP/kg,1100 mm (43.3 inches),2230 mm (87.8 inches),840 mm (33.1 inches),,16.60 litres (4.39 US gallons),"Jet Black/Tornado Red, White/Tangerine",,,255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vyrus 985 C3 V4,2006,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",150.0 HP (109.5  kW)),,104.0 x 58.8 mm (4.1 x 2.3 inches),Injection. Electronic EFI euro 1,Desmodromic valve control,Fully programable,Forced by pump at gear,Liquid,Chain   (final drive),Double omega design,,Progressive link.  Double system fully adjustable.,Direct Double system fully adjustable.,120/70-17 ,190/50-17 ,Double disc. 4 piston caliper,Double disc. 2 piston,,1375 mm (54.1 inches),11.9:1,6-speed,Dry multiple disk,,,Underseat double stainless,,,,157.0 kg (346.1 pounds),0.9554 HP/kg,,,,,14.50 litres (3.83 US gallons),Any colour you choose. Built to order.,Electric,,210 mm (8.3 inches),,2,,,281.6 km/h (175.0 mph),,,,,,,,,,12000,,,,,,,,,,,,,,,,
Honda VTR 1000 SP-2,2006,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",132.8 HP (96.9  kW)) @ 10000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 8000 RPM,100.0 x 63.6 mm (3.9 x 2.5 inches),Injection. PGM-FI electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorised with electronic advance,,Liquid,Chain   (final drive),"Diamond, triple-box-section aluminium twin-spar",23.3°,"43mm inverted cartridge-type fork with adjustable spring preload, and compression and rebound damping","Pro-Link with gas-charged integrated remote reservoir damper offering adjustable preload, and compression and rebound damping",120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,"825 mm (32.5 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),10.8:1,6-speed,"Wet, multiplate with coil springs",,,,95 mm (3.7 inches),130 mm (5.1 inches),126 mm (5.0 inches),194.0 kg (427.7 pounds),0.6843 HP/kg,,,,140 mm (5.5 inches),18.00 litres (4.76 US gallons),,,,220 mm (8.7 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50,2006,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",47.9 ccm (2.92 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),,,Helical gears,,Liquid,Chain   (final drive),,,"Aprilia ø 35 mm central pin hydraulic telescopic fork, wheel travel 110 mm","Double member swing-arm in high strength steel with hydraulic monoshock, wheel travel 120 mm",90/80-ZR17 ,110/70-ZR17 ,Single disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),,6-speed,"Aprilia ø 35 mm central pin hydraulic telescopic fork, wheel travel 110 mm",,,"Aprilia ø 35 mm central pin hydraulic telescopic fork, wheel travel 110 mm",,,,,,,1920 mm (75.6 inches),,,13.00 litres (3.43 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Pack’R 50,2006,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,2% oil mixture,Air,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1.80 litres/100 km (55.6 km/l or 130.68 mpg),41.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,55.0 kg (121.3 pounds),,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 R,2006,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.6 mm (3.9 x 3.3 inches),Carburettor.  Keihin 40mm piston-valve,Single Overhead Cams (SOHC),Solid-state CD with electronic advance,Dry sump,Liquid,Chain   (final drive),,27.8°,46mm leading-axle Kayaba cartridge fork with compression- and rebound-damping adjustability,"Pro-Link Kayaba single-shock with spring-preload, compression- and rebound-damping adjustability",80/70-21 ,110/90-18 ,Single disc,Single disc,"935 mm (36.8 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),10.0:1,5-speed,,,,,111 mm (4.4 inches),284 mm (11.2 inches),307 mm (12.1 inches),125.6 kg (277.0 pounds),,,,,305 mm (12.0 inches),9.84 litres (2.60 US gallons),Red,,Model ID: XR650R,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha PW 50,2006,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",2.7 HP (2.0  kW)) @ 2700 RPM,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs),40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,,,Air,Chain   (final drive),,,Telescopic fork,Unit swing,70/90-M17 ,90/90-M14 ,Expanding brake (drum brake),Expanding brake (drum brake),"485 mm (19.1 inches) If adjustable, lowest setting.",855 mm (33.7 inches),6.0:1,5-speed,,,,,,60 mm (2.4 inches),125 mm (4.9 inches),37.0 kg (81.6 pounds),0.0724 HP/kg,715 mm (28.1 inches),1245 mm (49.0 inches),575 mm (22.6 inches),105 mm (4.1 inches),8.00 litres (2.11 US gallons),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban Racer 150 Deluxe,2006,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)),,,,,CDI,,Air,Shaft drive (cardan)   (final drive),,,Twin,Twin,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),"737 mm (29.0 inches) If adjustable, lowest setting.",1422 mm (56.0 inches),,Automatic,,,,,,,,108.9 kg (240.0 pounds),0.0813 HP/kg,1194 mm (47.0 inches),1956 mm (77.0 inches),559 mm (22.0 inches),,,,Kick,,,3.78 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Varadero 125,2006,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",14.8 HP (10.8  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 8500 RPM,42.0 x 45.0 mm (1.7 x 1.8 inches),Carburettor. 22mm PD-type,Single Overhead Cams (SOHC),Dual digital transistorised with electronic advance,,Liquid,Chain   (final drive),,,,,,,Single disc,Expanding brake (drum brake),"800 mm (31.5 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),11.8:1,5-speed,"Wet, multiplate with coil springs",,,,97 mm (3.8 inches),,,149.0 kg (328.5 pounds),0.0990 HP/kg,,,,190 mm (7.5 inches),17.70 litres (4.68 US gallons),,Electric,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban Sporty 150,2006,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",8.8 HP (6.5  kW)),,,,,,,Air,Shaft drive (cardan)   (final drive),,,Twin,Monoshock,,,Single disc,Single disc,"787 mm (31.0 inches) If adjustable, lowest setting.",1308 mm (51.5 inches),,Automatic,,,,,,,,86.2 kg (190.0 pounds),0.1026 HP/kg,1054 mm (41.5 inches),1715 mm (67.5 inches),559 mm (22.0 inches),,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos MC 80 Senior,2006,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,Air,Chain   (final drive),,,,,2.50-17 ,3.00-14 ,Expanding brake (drum brake),Expanding brake (drum brake),,1200 mm (47.2 inches),,,,,,,,,,60.0 kg (132.3 pounds),,,,,,2.00 litres (0.53 US gallons),,Kick,,,0.50 litres (0.13 US gallons),,,,60.0 km/h (37.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Runner Pure Jet,2006,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,40.0 x 39.3 mm (1.6 x 1.5 inches),Injection,,Inductive,Automatic,Liquid,Belt   (final drive),Cradled in welded steel tubes with pressed steel reinforcements,,Telescopic with Ø 30mm upside-down legs,Single hydraulic damper adjustable to 4-positions,120/70-12 ,130/70-12 ,Double disc,Double disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),10.5:1,Automatic,Dry automatic centrifugal type (Twist and Go),,,,,,,123.0 kg (271.2 pounds),,,1800 mm (70.9 inches),,,11.00 litres (2.91 US gallons),,Electric,,175 mm (6.9 inches),,,,106.0 kg (233.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Borile B500 CR,2006,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Single cylinder, four-stroke",,,87.0 x 82.0 mm (3.4 x 3.2 inches),Carburettor. Mikuni TM Ø36,,Electronic,By pump,Air,Chain   (final drive),,,Ceriani upside down fork,Mono Paioli with no levers,120/70-17 ,150/70-17 ,Single disc,Single disc,,1400 mm (55.1 inches),10.3:1,,Multidisc in oil bath,,,,,,,117.0 kg (257.9 pounds),,850 mm (33.5 inches),1990 mm (78.3 inches),720 mm (28.3 inches),200 mm (7.9 inches),8.50 litres (2.25 US gallons),,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
